player,season_end_year,squad,comp,nation,age,gls_per,ast_per,g_minus_pk_per,xg_per,xag_per,xg+xag_per,npxg_per,sot_percent_standard,sh_per_90_standard,sot_per_90_standard,g_per_sh_standard,g_per_sot_standard,dist_standard,npxg_per_sh_expected,cmp_percent_total,cmp_percent_short,cmp_percent_medium,cmp_percent_long,succ_percent_take,ppm_team.success,plus_per__minus__team.success,xgplus_per__minus__team.success..xg,xgplus_per__minus_90_team.success..xg,on_minus_off_team.success..xg,ga90,save_percent,cs_percent,_per_90_expected,cmp_percent_launched,launch_percent_passes,avglen_passes,launch_percent_goal,avglen_goal,stp_percent_crosses,avgdist_sweeper,position_group_model,league_strength,pk_success_rate,pass_cmp_pct,tklw_win_rate,aerial_win_pct,avrg_dist_pass,avrg_prg_dist_pass,avrg_dist_per_carry,pk_p90,pkatt_p90,crdy_p90,crdr_p90,fk_standard_p90,att_total_p90,att_short_p90,att_medium_p90,att_long_p90,kp_p90,final_third_p90,ppa_p90,crspa_p90,att_p90,live_pass_p90,dead_pass_p90,fk_pass_p90,tb_pass_p90,sw_pass_p90,crs_pass_p90,ti_pass_p90,ck_pass_p90,off_outcomes_p90,blocks_outcomes_p90,tkl_tackles_p90,def_3rd_tackles_p90,mid_3rd_tackles_p90,att_3rd_tackles_p90,att_challenges_p90,sh_blocks_p90,pass_blocks_p90,int_p90,err_p90,touches_touches_p90,def_pen_touches_p90,def_3rd_touches_p90,mid_3rd_touches_p90,att_3rd_touches_p90,att_pen_touches_p90,carries_carries_p90,prgdist_carries_p90,prgc_carries_p90,final_third_carries_p90,cpa_carries_p90,mis_carries_p90,dis_carries_p90,rec_receiving_p90,prgr_receiving_p90,ong_team.success_p90,onga_team.success_p90,onxg_team.success..xg._p90,2crdy_p90,fls_p90,fld_p90,off_p90,crs_p90,pkwon_p90,pkcon_p90,og_p90,recov_p90,won_aerial_p90,lost_aerial_p90,sota_p90,saves_p90,ga_goals_p90,fk_goals_p90,ck_goals_p90,og_goals_p90,cmp_launched_p90,att_passes_p90,thr_passes_p90,att_goal_p90,stp_crosses_p90,att_(gk)_passes_p90,live_touches_p90
Martin Agirregabiria,2020,Alavés,La Liga,ESP,23,0.04,0.04,0.04,0.03,0.03,0.07,0.03,33.3,0.13,0.04,0.33,1.0,24.1,0.26,71.2,85.5,77.0,40.7,58.6,1.0,-18.0,-13.8,-0.59,-0.27,,,,,,,,,,,,DF,84.5,0.0,0.7120315581854043,0.5454545454545454,0.49056603773584906,12.454635108481263,5.985207100591716,4.550255536626916,0.0,0.0,0.21438780371605526,0.04287756074321105,0.0,43.47784659361601,16.507860886136257,17.49404478323011,7.3749404478323015,0.5145307289185326,1.5435921867555977,0.6002858504049547,0.21438780371605526,44.07813244402096,33.015721772272514,10.890900428775607,0.6002858504049547,0.04287756074321105,0.12863268222963314,1.4149595045259649,10.247737017627442,0.04287756074321105,0.1715102429728442,1.672224868985231,2.3582658408766077,1.3720819437827536,0.7717960933777989,0.21438780371605526,2.315388280133397,0.3001429252024774,0.5145307289185326,0.7717960933777989,0.0,53.03954263935207,3.25869461648404,17.279656979514055,27.227251071939016,9.004287756074321,0.38589804668889943,25.16912815626489,58.1848499285374,1.1148165793234874,0.9004287756074322,0.0857551214864221,1.0290614578370652,0.5574082896617437,25.555026202953787,2.1010004764173416,0.857551214864221,1.62934730824202,0.9733206288708909,0.0,1.4149595045259649,0.81467365412101,0.04287756074321105,1.4149595045259649,0.0,0.04287756074321105,0.0,5.359695092901382,1.1148165793234874,1.1576941400666985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.03954263935207
Burgui,2020,Alavés,La Liga,ESP,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,57.1,60.0,,50.0,,1.5,0.0,0.2,0.75,1.25,,,,,,,,,,,,MF,84.5,0.0,0.5714285714285714,0.0,0.0,8.285714285714286,2.5714285714285716,5.0,0.0,0.0,0.0,0.0,0.0,28.636363636363637,20.454545454545453,0.0,8.181818181818182,0.0,4.090909090909091,0.0,0.0,28.636363636363637,24.545454545454543,4.090909090909091,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72727272727273,0.0,0.0,20.454545454545453,12.272727272727272,0.0,16.363636363636363,61.36363636363636,0.0,0.0,0.0,4.090909090909091,0.0,24.545454545454543,0.0,4.090909090909091,4.090909090909091,1.2272727272727273,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,12.272727272727272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72727272727273
Víctor Camarasa,2020,Alavés,La Liga,ESP,25,0.0,0.07,0.0,0.02,0.15,0.17,0.02,22.2,0.63,0.14,0.0,0.0,25.9,0.03,80.7,84.2,88.1,63.8,43.3,1.06,-9.0,-4.8,-0.33,0.25,,,,,,,,,,,,MF,84.5,0.0,0.8067542213883677,0.5555555555555556,0.4,15.651031894934334,3.225140712945591,4.457345971563981,0.0,0.0,0.06960556844547564,0.0,0.0,37.09976798143852,15.452436194895592,13.990719257540604,6.54292343387471,0.974477958236659,2.5058004640371228,0.8352668213457076,0.13921113689095127,37.7262180974478,34.733178654292345,2.8538283062645013,1.531322505800464,0.2088167053364269,0.4872389791183295,1.740139211136891,0.06960556844547564,0.765661252900232,0.13921113689095127,0.4872389791183295,1.2529002320185614,0.3480278422273782,0.6960556844547564,0.2088167053364269,1.2529002320185614,0.2088167053364269,0.3480278422273782,1.0440835266821344,0.0,46.42691415313225,1.4617169373549883,7.656612529002321,27.4245939675174,11.83294663573086,0.4176334106728538,29.37354988399072,47.749419953596295,0.6264501160092807,0.5568445475638051,0.13921113689095127,1.8097447795823667,0.5568445475638051,29.512761020881673,2.3665893271461718,0.765661252900232,1.3921113689095128,1.0649651972157772,0.0,0.974477958236659,1.0440835266821344,0.13921113689095127,1.740139211136891,0.0,0.0,0.0,5.4292343387471,0.6960556844547564,1.0440835266821344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.42691415313225
Rubén Duarte,2020,Alavés,La Liga,ESP,23,0.0,0.03,0.0,0.04,0.05,0.08,0.04,42.1,0.64,0.27,0.0,0.0,18.3,0.06,71.2,87.4,74.6,41.0,33.3,1.13,-5.0,-4.3,-0.15,1.54,,,,,,,,,,,,DF,84.5,0.0,0.7122137404580152,0.5245901639344263,0.5045871559633027,13.233587786259543,6.748091603053435,4.277392510402219,0.0,0.0,0.37176117161096506,0.0,0.0,44.273375891851295,15.51257979722118,18.858430341719867,8.41532106646639,0.37176117161096506,3.0754787833270747,0.540743522343222,0.270371761171611,45.82801351858806,34.134434847915884,11.592189260232821,1.1490799849793465,0.0,0.06759294029290275,2.162974089372888,10.34171986481412,0.10138941043935411,0.10138941043935411,0.912504693954187,2.0615846789335337,1.0138941043935412,0.9463011641006384,0.10138941043935411,2.0277882087870824,0.270371761171611,0.7435223432219301,1.5884340968832145,0.0,55.79797221179121,3.176868193766429,18.21629740893729,27.1723619977469,10.882463387157342,0.9800976342470897,24.367254975591436,53.330829891100265,0.9800976342470897,0.8111152835148329,0.06759294029290275,0.7773188133683815,0.40555764175741643,23.89410439354112,1.6560270371761172,1.081487044686444,1.2504693954187007,1.1693578670672173,0.0,1.554637626736763,1.3180623357116035,0.0,2.162974089372888,0.033796470146451374,0.16898235073225684,0.0,5.069470521967706,1.8588058580548255,1.825009387908374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.79797221179121
Rodrigo Ely,2020,Alavés,La Liga,BRA,25,0.08,0.0,0.08,0.04,0.01,0.05,0.04,33.3,0.25,0.08,0.33,1.0,9.2,0.17,79.5,88.1,88.8,65.8,100.0,1.0,-14.0,-10.6,-0.45,0.1,,,,,,,,,,,,DF,84.5,0.0,0.7949940405244339,0.5909090909090909,0.7073170731707317,19.871275327771155,6.849821215733016,4.142342342342342,0.0,0.0,0.38189533239038187,0.042432814710042434,0.0,35.6011315417256,7.468175388967468,15.106082036775108,12.39038189533239,0.042432814710042434,1.1456859971711457,0.0,0.0,37.89250353606789,36.19519094766619,1.6124469589816124,1.57001414427157,0.0,0.33946251768033947,0.08486562942008487,0.0,0.0,0.08486562942008487,0.2545968882602546,0.9335219236209334,0.6364922206506365,0.297029702970297,0.0,1.2305516265912306,0.8062234794908062,0.16973125884016974,1.3578500707213579,0.0,47.35502121640735,6.704384724186704,26.605374823196605,20.02828854314003,0.8910891089108911,0.6364922206506365,23.55021216407355,35.728429985855726,0.08486562942008487,0.08486562942008487,0.0,0.33946251768033947,0.2121640735502122,22.913719943422915,0.08486562942008487,0.7637906647807637,1.3578500707213579,0.9717114568599716,0.0,1.4427157001414428,0.5091937765205092,0.08486562942008487,0.08486562942008487,0.0,0.0,0.0,4.115983026874116,3.691654879773692,1.5275813295615275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.35502121640735
Ljubomir Fejsa,2020,Alavés,La Liga,SRB,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,,31.5,0.02,80.7,89.9,84.2,69.8,0.0,0.92,-12.0,-7.6,-0.88,-0.51,,,,,,,,,,,,MF,84.5,0.0,0.8068965517241379,0.6842105263157895,0.6206896551724138,15.089655172413794,3.2482758620689656,3.2752808988764044,0.0,0.0,0.22900763358778628,0.0,0.0,33.20610687022901,12.48091603053435,13.740458015267176,4.923664122137405,0.11450381679389314,2.0610687022900764,0.0,0.0,33.091603053435115,32.63358778625954,0.34351145038167935,0.22900763358778628,0.0,0.22900763358778628,0.0,0.11450381679389314,0.0,0.11450381679389314,0.6870229007633587,2.1755725190839694,0.9160305343511451,1.1450381679389312,0.11450381679389314,2.6335877862595423,0.11450381679389314,0.8015267175572519,0.6870229007633587,0.0,40.30534351145038,2.404580152671756,11.564885496183207,26.106870229007633,2.8625954198473282,0.0,20.38167938931298,15.916030534351146,0.11450381679389314,0.0,0.0,0.45801526717557256,0.22900763358778628,19.80916030534351,0.0,0.45801526717557256,1.8320610687022902,0.7786259541984732,0.0,2.748091603053435,0.8015267175572519,0.0,0.0,0.0,0.11450381679389314,0.0,6.183206106870229,2.0610687022900764,1.2595419847328244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.30534351145038
Manu García,2020,Alavés,La Liga,ESP,33,0.0,0.0,0.0,0.09,0.01,0.1,0.09,31.6,0.87,0.27,0.0,0.0,13.1,0.1,73.4,81.0,79.9,54.5,60.0,1.0,-8.0,-5.3,-0.24,0.57,,,,,,,,,,,,MF,84.5,0.0,0.7338028169014085,0.5,0.5615384615384615,13.429577464788732,3.23943661971831,3.551440329218107,0.0,0.0,0.5033045246568378,0.045754956786985254,0.0,32.48601931875953,13.268937468225724,12.308083375699034,5.033045246568378,0.09150991357397051,2.104728012201322,0.09150991357397051,0.0,32.577529232333504,32.21148957803762,0.22877478393492626,0.18301982714794102,0.045754956786985254,0.27452974072191155,0.18301982714794102,0.0,0.0,0.13726487036095578,0.6863243518047788,2.104728012201322,0.5033045246568378,1.418403660396543,0.18301982714794102,3.294356888662939,0.5490594814438231,0.7320793085917641,1.281138790035587,0.045754956786985254,43.42145399084901,2.470767666497204,9.013726487036095,29.466192170818506,5.21606507371632,1.235383833248602,22.236908998474835,25.943060498220643,0.32028469750889677,0.36603965429588203,0.045754956786985254,1.0981189628876462,0.915099135739705,23.83833248601932,1.1438739196746315,1.1438739196746315,1.5099135739705134,1.1347229283172344,0.045754956786985254,2.745297407219115,1.7386883579054397,0.13726487036095578,0.18301982714794102,0.0,0.13726487036095578,0.0,5.033045246568378,3.3401118454499237,2.60803253685816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.42145399084901
Joselu,2020,Alavés,La Liga,ESP,29,0.36,0.06,0.32,0.38,0.06,0.44,0.36,33.7,2.78,0.94,0.12,0.34,13.9,0.14,54.4,60.5,47.6,53.8,38.2,1.08,-16.0,-9.5,-0.31,0.96,,,,,,,,,,,,FW,84.5,1.0,0.5437185929648242,0.6538461538461539,0.6630669546436285,8.61708542713568,2.365829145728643,2.9844632768361583,0.03235082674335011,0.03235082674335011,0.19410496046010065,0.0,0.06470165348670022,32.18907260963336,16.693026599568654,10.125808770668582,3.364485981308411,0.48526240115025165,2.555715312724659,0.4205607476635514,0.06470165348670022,31.930265995686554,30.992092020129405,0.5176132278936018,0.0,0.0,0.2588066139468009,0.12940330697340044,0.09705248023005032,0.0,0.4205607476635514,0.5176132278936018,0.8411214953271028,0.12940330697340044,0.3882099209202013,0.3235082674335011,1.0352264557872035,0.16175413371675054,1.0028756290438534,0.4205607476635514,0.0,44.8705966930266,1.6175413371675054,4.335010783608914,24.586628324946084,16.207764198418403,4.205607476635514,22.904385334291877,20.67217828900072,0.4205607476635514,0.582314881380302,0.16175413371675054,2.9115744069015097,1.3910855499640546,35.03594536304817,3.7850467289719623,1.0028756290438534,1.520488856937455,1.167864845434939,0.0,1.6498921639108555,1.8763479511143064,0.19410496046010065,0.12940330697340044,0.03235082674335011,0.0,0.0,3.2350826743350107,9.931703810208482,5.046728971962617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83824586628325
Víctor Laguardia,2020,Alavés,La Liga,ESP,29,0.03,0.07,0.03,0.04,0.03,0.08,0.04,20.0,0.34,0.07,0.1,0.5,14.0,0.13,75.4,86.9,87.2,58.0,66.7,1.0,-17.0,-12.0,-0.41,0.35,,,,,,,,,,,,DF,84.5,0.0,0.7543859649122807,0.7142857142857143,0.6213592233009708,19.705653021442494,8.701754385964913,4.078602620087336,0.0,0.0,0.30519969856819895,0.03391107761868877,0.0,34.79276563677468,6.205727204220045,14.58176337603617,13.49660889223813,0.2373775433308214,2.4076865109269026,0.2373775433308214,0.03391107761868877,36.14920874152223,33.94498869630746,2.1363978899773928,2.1363978899773928,0.0,0.2373775433308214,0.10173323285606632,0.0,0.0,0.06782215523737754,0.2712886209495102,0.7121326299924642,0.5086661642803316,0.20346646571213264,0.0,1.0173323285606632,0.6103993971363979,0.20346646571213264,1.2547098718914846,0.03391107761868877,45.06782215523738,5.324039186134137,25.806330067822156,18.583270535041446,0.9155990957045969,0.5086661642803316,23.29691032403919,43.54182366239638,0.20346646571213264,0.16955538809344387,0.10173323285606632,0.30519969856819895,0.06782215523737754,22.61868877166541,0.1356443104747551,0.9155990957045969,1.492087415222306,1.105501130369254,0.0,1.2207987942727958,0.2373775433308214,0.06782215523737754,0.10173323285606632,0.0,0.0,0.0,4.544084400904295,2.1703089675960814,1.322532027128862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.06782215523738
Javi López,2020,Alavés,La Liga,ESP,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,60.0,62.5,75.0,40.0,66.7,0.0,-6.0,-2.7,-2.69,-2.26,,,,,,,,,,,,DF,84.5,0.0,0.6,0.8333333333333334,0.0,10.866666666666667,4.5,5.785714285714286,0.0,0.0,0.0,0.0,0.0,30.0,16.0,8.0,5.0,0.0,2.0,0.0,0.0,30.0,22.0,8.0,0.0,0.0,0.0,5.0,8.0,0.0,0.0,2.0,6.0,4.0,2.0,0.0,5.0,1.0,0.0,1.0,0.0,47.0,6.0,20.0,15.0,12.0,0.0,14.0,43.0,1.0,0.0,0.0,1.0,0.0,16.0,3.0,0.0,6.0,0.2,0.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
