player,season_end_year,squad,comp,nation,position_group_model,age,league_strength,gls_per,ast_per,g_minus_pk_per,xg_per,xag_per,xg+xag_per,npxg_per,cmp_percent_total,cmp_percent_short,cmp_percent_medium,cmp_percent_long,ppm_team.success,plus_per__minus__team.success,xgplus_per__minus__team.success..xg,xgplus_per__minus_90_team.success..xg,on_minus_off_team.success..xg,pass_cmp_pct,tklw_win_rate,aerial_win_pct,avrg_dist_pass,avrg_prg_dist_pass,avrg_dist_per_carry,crdy_p90,crdr_p90,att_total_p90,att_short_p90,att_medium_p90,att_long_p90,kp_p90,final_third_p90,ppa_p90,crspa_p90,att_p90,live_pass_p90,dead_pass_p90,fk_pass_p90,tb_pass_p90,sw_pass_p90,crs_pass_p90,ti_pass_p90,ck_pass_p90,off_outcomes_p90,blocks_outcomes_p90,tkl_tackles_p90,def_3rd_tackles_p90,mid_3rd_tackles_p90,att_3rd_tackles_p90,att_challenges_p90,sh_blocks_p90,pass_blocks_p90,int_p90,err_p90,touches_touches_p90,def_pen_touches_p90,def_3rd_touches_p90,mid_3rd_touches_p90,att_3rd_touches_p90,carries_carries_p90,prgdist_carries_p90,prgc_carries_p90,final_third_carries_p90,cpa_carries_p90,mis_carries_p90,dis_carries_p90,rec_receiving_p90,prgr_receiving_p90,ong_team.success_p90,onga_team.success_p90,onxg_team.success..xg._p90,2crdy_p90,fls_p90,fld_p90,off_p90,crs_p90,pkwon_p90,pkcon_p90,og_p90,recov_p90,won_aerial_p90,lost_aerial_p90,live_touches_p90
Martin Agirregabiria,2020,Alavés,La Liga,ESP,DF,23,84.5,0.13690895980769818,0.005216071199099259,0.14851425145169977,-0.19764753399186447,-0.10787718980721797,-0.12408885855559655,-0.189379056449277,-1.2163771944766002,-0.5980300780371204,-1.0701005846328628,-1.1885577415642998,-0.6097109554392011,-1.4347829962767031,-1.4333116451251353,-0.3592346175704366,-0.16281417129333006,0.13374281800876475,0.3149047987189047,0.2920681375803736,-0.036211552559899676,0.6354717026080786,0.23581005949494493,0.012859833006760583,0.17649382841107122,-0.016259243483928484,0.02683966969756077,-0.10003018992011586,0.030487528344238415,0.03579434725913975,-0.2770467977864798,0.08929700692603712,0.016827548403012968,-0.011557537992048433,-0.24915176722323745,1.1464005078929882,-0.3705974073982895,0.10766856961126775,-0.292001006671707,0.04725507815251687,1.3197789089484575,-0.10868411502040075,0.07471731715487812,0.9258142578502342,0.5069120648247947,0.4120151899643145,0.48770786206961614,0.09385846062188877,0.4700210432204563,-0.10251560231652741,0.008736374428377448,-0.07952998967696026,-0.23387943496509128,0.19757824639417432,-0.17959979036769813,-0.08645191047226636,0.3387372166757625,0.22852712023014657,-0.005637087139095929,-0.14107131153288802,0.05186451357100639,0.17193602670689617,-0.03387264051014093,0.5235619029700339,0.13305143878954914,-0.10577301654896801,0.1231232212898166,-0.14063086708604472,0.18474478359976235,-0.11578685469661827,-0.12745064583729815,0.2090780215911771,0.3123098474403879,0.031249206736535435,0.08960737445520073,-0.11344959688832285,0.26160733593036567,-0.11631378185961472,0.36248657326990874,-0.06345763647357994,0.08743333136022163,0.19760254756944054
Rubén Duarte,2020,Alavés,La Liga,ESP,DF,23,84.5,-0.45658132303367444,-0.052633182208302244,-0.4535080941118201,-0.04700034735115304,-0.0007611155229282265,-0.07483945874507067,-0.03682924282000419,-1.2163771944766002,-0.3058671216290014,-1.3452970803453814,-1.1678881703495905,-0.3872502854613707,-0.3897598008445339,-0.43635690314427616,-0.05046476481139806,1.089443098175159,0.13431523705544338,0.24677183668013974,0.3417844779564868,0.08493149476637354,0.9519967670161859,0.12188825490145322,0.14204067133086065,-0.07838023083941348,-0.0022711697129341327,-0.01685262511617132,-0.043635869461973883,0.14036394319719817,-0.034895260325474076,0.2505346675988516,0.05231674827996281,0.06487281768268921,0.04930635241314066,-0.20685920177855993,1.275801114357762,0.10098857719071366,-0.3057286963368715,-0.4064734597558626,0.26166842690634834,1.3379154216852336,-0.020036413421752053,-0.04099189306649971,0.23730832757345624,0.3666391601599426,0.16379610307808024,0.7187883408635236,-0.0031934217405146363,0.34925298365343577,-0.13707313670940832,0.154609458062518,0.3564098558516509,-0.23387943496509128,0.2765955453401423,-0.19561268271196197,-0.02775764025276357,0.33567876540720654,0.4151448812507049,-0.04405878556259081,-0.19969880735281303,-0.0031480799527851674,0.09854654645028449,-0.04898689695965097,0.23534883440608656,0.050936972857166044,-0.1789145182640253,-0.0007425125238713546,-0.04107825806616144,-0.004366507298739851,0.036200189749896076,-0.12745064583729815,0.2589533347929057,0.8899167423603939,-0.35579979429498637,0.30749562822490445,1.0382787368946975,1.7442644442373443,-0.11631378185961472,0.2960853322764622,0.24093311494715586,0.45109690414828935,0.27662074726283276
Rodrigo Ely,2020,Alavés,La Liga,BRA,DF,25,84.5,0.7303992426490709,-0.2261809424305067,0.7505365970152197,-0.04700034735115304,-0.21499326409150768,-0.22258765817664838,-0.03682924282000419,-0.21104716903626347,-0.19822813768917022,0.28294885262034974,0.5407963833997352,-0.6097109554392011,-1.1132373976821894,-1.0974953109842143,-0.2609896644198335,0.09317212136044949,0.3944120059051326,0.46333732316050047,1.0606279685256559,1.1172274466486214,0.9942049546274316,0.06550407171290303,0.15035935576081128,0.17385015594359804,-0.1547583175763041,-0.3699975737351011,-0.1987321554515834,0.5601770624300978,-0.19795587881334764,-0.4140856171460195,-0.2835256006572358,-0.16715944051239942,-0.22670441020675716,-0.12895302180110166,-0.5656437343512681,0.46270281109176675,-0.3057286963368715,0.10338415849473648,-0.33400738343006664,-0.657796983960606,-0.1736452678429658,-0.06825844970211122,-0.35892886696615833,-0.1667167101473759,-0.09773804373033844,-0.1409801431337865,-0.09027459917511911,0.014480065841117802,0.4849285480786294,-0.21090905708121696,0.23331888492587965,-0.23387943496509128,0.03474083588729704,0.4946990841749682,0.49794118843015855,-0.062393179538046045,-0.5776099317001879,-0.08320733580698217,-0.41230292083114295,-0.3687168153901686,-0.49821754150294023,-0.10523658541270343,-0.26594051542432007,-0.05364216320353651,-0.22208740607449545,-0.4381013379029887,-0.18231293016347955,0.049230964173575954,-0.1170344406154769,-0.12745064583729815,0.2189890150073199,-0.038209125302176544,0.4102689027018683,-0.29783404402450303,-0.11344959688832285,-0.24251879780577887,-0.11631378185961472,0.07793442678191746,0.9908125915884186,0.28900896940429777,0.034763280818677
Víctor Laguardia,2020,Alavés,La Liga,ESP,DF,29,84.5,-0.011463610902644993,0.17876383142130378,-0.001991334939180211,-0.04700034735115304,-0.10787718980721797,-0.07483945874507067,-0.03682924282000419,-0.7076559767838991,-0.3827521101574536,0.09948452214533847,0.0033875318172861294,-0.6097109554392011,-1.3543965966280747,-1.2444149571708674,-0.23291967780537542,0.2661358326130032,0.2668209093827658,0.8662256037876883,0.7558370343934379,1.0914697960669637,1.7625824273584048,0.03889238934594627,0.08740330159817904,0.12319499537263151,-0.16897210195545054,-0.42541835776222725,-0.2204038848186291,0.6770076283369667,-0.10143273601754478,0.020547130378798385,-0.13609631404885417,-0.13805705243904215,-0.28733921840102983,-0.21402114878676282,-0.46896521162653665,0.9494037788071596,-0.3057286963368715,-0.08806352896330125,-0.3291723983757304,-0.657796983960606,-0.1736452678429658,-0.09638257295988382,-0.3438017750172344,-0.27139109889378343,-0.1863196858279874,-0.2648770452327742,-0.09027459917511911,-0.07505426829465797,0.25762143123561115,-0.18941893104136628,0.17826031288700564,0.03299821035322409,-0.030777709074355196,0.22457454781339636,0.4478693067174461,-0.14291042682275654,-0.5751745903069833,-0.09534427608941297,-0.3179317189041158,-0.3202860650245376,-0.4286274132202874,-0.02057592960045096,-0.30516705272714045,-0.1316962228831615,-0.2350796028370436,-0.4239662501960611,-0.11482517984822141,0.11623354375440079,-0.013307734193630493,-0.12745064583729815,0.13974843667069592,-0.3501011804541803,0.25642014026806137,-0.29292070044484814,-0.11344959688832285,-0.24251879780577887,-0.11631378185961472,0.17588086327815652,0.36837939447532986,0.17726423981577794,-0.03075601101310873
Javi López,2020,Alavés,La Liga,ESP,DF,17,84.5,-0.45658132303367444,-0.2261809424305067,-0.4535080941118201,-0.6495890939139987,-0.26855130123365256,-0.4688346572292779,-0.6470284973370952,-2.572967108323802,-4.134739550345919,-1.2994309977266278,-1.236786741065289,-2.3209468783455898,-0.4701462004931623,-0.26844873607381575,-1.8329089148294848,-1.5396053128636575,-0.2182617805471711,1.2549774535156766,-1.4473899936036414,-0.28317307100291117,0.01925093569354703,0.751620838786639,-0.16312163438482857,-0.07838023083941348,-0.2532449998147857,0.004544854887388174,-0.49244874097988883,-0.22033408176966013,-0.2189656730379077,-0.11986002987316632,-0.2835256006572358,-0.16715944051239942,-0.501219334234175,-0.665597363611986,0.6129765434252742,-0.8864308975240734,-0.3057286963368715,-0.5332356222584439,1.0748828191410018,0.8860177251853258,-0.1736452678429658,-0.2082986431845287,1.2228645783734384,2.2287491547559317,2.23312508983809,2.1141015572395276,-0.09027459917511911,1.597334213142332,0.7098589124099155,-0.31903189027508155,0.042290419580111795,-0.23387943496509128,0.024570984944097072,0.356855629912387,0.08401750694596448,-0.34257235362295585,0.5261846461671185,-0.5408050962661305,-0.32447593673949426,0.004979067693047324,-0.5679521839277697,-0.10523658541270343,0.49029025780304164,-0.1683716018332024,-0.526544759956862,0.3733746427602903,-0.5218626729818586,2.366291251822634,-0.7153398675476685,-0.12745064583729815,0.06090710601262677,-0.6224770020436043,-0.35579979429498637,1.1338894366991694,-0.11344959688832285,11.514822921218304,-0.11631378185961472,-0.6349795047757264,-0.5195661664986607,-0.543469661691651,0.024593313945583655
Lisandro Magallán,2020,Alavés,La Liga,ARG,DF,25,84.5,0.7303992426490709,0.23661308482870524,0.7505365970152197,0.25429402593026973,-0.16143522694936283,-0.07483945874507067,0.2682703844385413,-0.15048511931094194,0.29383578889292383,0.17975016672815652,0.29965138589479,-0.40436264469043426,-1.4347829962767031,-1.4123231242413277,-0.6680044703294754,-0.5502528844990504,0.41161591846076395,0.7602023720436912,0.47576580202092794,1.0120272688842484,1.208452243439527,0.28086987184077333,0.08375228378054862,-0.07838023083941348,-0.21754946785514473,-0.39418099872992196,-0.20777848843697172,0.2839024554577534,-0.07005414906032413,-0.13539686377760599,-0.19013084551732773,-0.16715944051239942,-0.3783064551209745,-0.30915344347334955,-0.4747101387277459,0.7934292820990636,-0.3057286963368715,0.4538042571110703,-0.3583335452010779,-0.6287779104804194,-0.1736452678429658,-0.2082986431845287,-0.4533804076756796,0.17399429476408218,-0.017776159417314162,0.6604630385428635,-0.09027459917511911,-0.06023152519373764,0.07274343941161644,0.20782981006870607,0.15066042686072523,0.357844266517623,-0.10271955241185933,0.19794668898063486,0.300752480931715,-0.16451785591631965,-0.5540881140704316,-0.22089187024296322,-0.24901031360866613,-0.3726686957123697,-0.44438729121008946,-0.10523658541270343,0.12014371794882861,-0.08705459620796553,-0.32059872793862165,-0.4617250927985718,-0.12075712883383187,0.4973490415501375,-0.15339541636089285,-0.12745064583729815,0.21393847478384717,-0.19110963690556196,0.3229101916408234,-0.32255444944707,-0.11344959688832285,0.6414918577599416,-0.11631378185961472,0.013552969408290618,0.464814584890216,0.5628506243700704,-0.10269867444230094
Adrián Marín,2020,Alavés,La Liga,ESP,DF,22,84.5,-0.45658132303367444,-0.2261809424305067,-0.4535080941118201,0.40494121257098126,-0.16143522694936283,0.023659340875981164,0.4208201980678142,-1.2042647845315366,-0.3212441193346932,-1.1503662292156809,-1.2781258834947082,-1.4653289168923955,-1.1936237973308177,-1.160460873635637,-0.7802844167873075,-0.619438369000072,0.13576783950412744,0.7602023720436912,0.5471329116241834,0.06130830920948072,1.0530087309773988,0.2633062210074778,-0.07641151700103851,-0.07838023083941348,-0.12136984007500064,-0.1506489839721709,-0.12452570223600178,-0.012085566228472674,0.04254708253892261,0.06446663339687556,0.17572008790924887,0.014149803493915416,-0.21831160386296872,-0.4829635923245626,1.1639325237713964,0.38438423836092717,-0.3057286963368715,-0.13702947349744168,0.18669239616844535,1.136072220328681,0.14643327622878083,0.31463313564682255,0.2719271316616734,0.49068430132991014,0.4860200415522461,0.3049764820219255,0.09117858979855203,0.16311183954919764,0.03955393956412645,0.28658922558104566,0.241534076680019,-0.23387943496509128,0.10344767775553872,-0.11446232048026249,-0.09029620797046851,0.1165338665614632,0.3099691043739123,-0.14365105240357626,-0.20718196255638047,0.15739170276946918,0.21324769239122604,-0.017329942014535183,0.19197857705908783,0.11724006405121228,-0.2775203693776756,0.03815855172609918,-0.38098141231719074,0.32054006781402417,-0.34625490964558336,-0.12745064583729815,0.6468088958385906,-0.13764438601521303,-0.35579979429498637,0.23130449317192242,-0.11344959688832285,0.9994539189925398,-0.11631378185961472,-0.04205214241792511,-0.13060145718556032,-0.14050245264491285,0.10347090590162816
Guillermo Maripán,2020,Alavés,La Liga,CHI,DF,25,84.5,-0.45658132303367444,-0.2261809424305067,-0.4535080941118201,-0.6495890939139987,-0.26855130123365256,-0.4688346572292779,-0.6470284973370952,-2.1369203503014873,-2.2126148371346153,-0.7261049649922156,-3.992729569693234,2.8127608903735766,0.09255859704723644,-0.0480692667938363,-0.3522171209168221,-0.038280299191491354,-0.10400676680334296,1.7992300431348602,1.0853375050983585,-0.24829879508407213,0.0003915895130767773,0.30429355506130024,-0.16312163438482857,-0.07838023083941348,-0.5873287378222413,-0.5222485742295215,-0.6164481195438888,-0.6427810704389263,-0.2189656730379077,-0.8086596663033226,-0.2835256006572358,-0.16715944051239942,-1.1272904674192858,-1.1192532619702507,-0.4941331151947641,0.832195286244213,-0.3057286963368715,-0.5332356222584439,-0.3583335452010779,-0.657796983960606,-0.1736452678429658,-0.2082986431845287,-0.5896604878422745,-0.1352854159959366,0.15416768601191813,-0.5343083466872716,-0.09027459917511911,0.3375842520069191,-0.4509131137376704,-0.31903189027508155,0.576113048036467,-0.23387943496509128,-0.605635634858827,0.5525490479116743,-0.04131184757623048,-0.8440576095167058,-0.5667884162309006,-0.876209615891771,-0.6988980356184407,-0.40337176590793206,-0.5679521839277697,-0.10523658541270343,-0.6545815980251055,-0.1683716018332024,-1.0109483690287042,-0.4617250927985718,-0.07730402821779561,-0.6285197598188358,-0.48275082602949065,-0.12745064583729815,-0.2961660877868877,-0.6224770020436043,-0.35579979429498637,-0.32255444944707,-0.11344959688832285,-0.24251879780577887,-0.11631378185961472,-0.40618688125722696,1.5261000824813489,0.5464606942061931,-0.6056204898157531
Ximo Navarro,2020,Alavés,La Liga,ESP,DF,29,84.5,-0.45658132303367444,-0.2261809424305067,-0.4535080941118201,-0.3482947206325758,-0.21499326409150768,-0.32108645779770023,-0.3419288700785497,-0.659206337003643,-0.4442601009802162,-0.6458393204093975,-0.6442590329102809,-0.3872502854613707,-0.7113053994390475,-0.40487412181856486,-0.07853475142585613,0.4806108345661699,0.27897657820471305,0.35856142355466825,0.3792437781874978,0.2532745651637379,0.4801484477738087,0.6800141296451934,0.14744912761617668,-0.07838023083941348,-0.07556349189423456,-0.06669083039519277,-0.11352193095579659,-0.009166084937479595,-0.14871589865489368,-0.07570156658126981,-0.1954066921686888,-0.12657208478634052,-0.1530364917288802,-0.30117873515323634,0.6639784422196462,0.08893235968546381,0.1502465328933672,0.1763127513503293,-0.10076129264984764,0.7203192730870299,-0.1736452678429658,-0.05221601030160308,0.09610832333760623,0.15217522492470575,0.01833809910927987,0.405090857280458,-0.009035441526370923,0.05381503672926266,-0.06663230634251581,0.07262219270632006,0.8212843445529434,0.5105170660068572,0.17794544749537958,0.08969246650610845,0.2058563434494121,0.17612977215259032,0.0011315187857360125,-0.030988212144820507,-0.05326696775679706,-0.0557478297893894,0.01497152830185396,-0.026522491692010482,0.7531956708334675,0.13852211041086024,-0.23145495807064756,-0.22475512054329827,-0.08034095012107081,0.07965940741114896,0.031601363349909734,-0.12745064583729815,0.19356645862232555,1.1140543226277122,-0.35579979429498637,-0.06080783407028924,-0.11344959688832285,0.31352994350382035,-0.11631378185961472,0.34811943506177745,0.13831493932150007,0.28128058134192513,0.17796952486910775
Tachi,2020,Alavés,La Liga,ESP,DF,21,84.5,-0.45658132303367444,-0.2261809424305067,-0.4535080941118201,-0.6495890939139987,-0.26855130123365256,-0.4688346572292779,-0.6470284973370952,-1.0104662254105066,-0.4135061055688349,-1.7810248652235345,0.21697310103595197,-0.045003100880092635,-0.14860060189864874,-0.20548317342239303,-0.5136195439499561,-0.21816255889414723,0.18647208169791477,0.1664722742773093,-1.0928081437853614,0.7207683497793149,0.979159691285948,-0.41143009889924204,0.14728601272016775,-0.07838023083941348,-0.38844474341355695,-0.4488368848777954,-0.4479895800381746,-0.029522941929550434,-0.2189656730379077,-0.6784244409278729,-0.2835256006572358,-0.16715944051239942,-0.7686586838440612,-0.8825770404878227,0.11369179542015884,0.4133704179309331,-0.3057286963368715,-0.5332356222584439,-0.3583335452010779,0.07194736384997101,-0.1736452678429658,1.0397066104970154,-0.5896604878422745,-0.2505072690241789,-0.014711206735866157,-0.5343083466872716,-0.09027459917511911,0.13291899221461112,1.3048765056452325,-0.07814057808580967,0.31593059046950395,-0.23387943496509128,-0.37935823890208575,0.44072423762636714,0.22883083675102184,-0.6516108866667233,-0.5158553705423757,-0.5955650178376637,-0.6063328542203383,-0.40337176590793206,-0.5679521839277697,-0.10523658541270343,0.6442226081664899,0.03611675054790795,-0.6815983216078183,-0.4617250927985718,-0.017531437325148492,0.3152232060345685,0.03845711014569797,-0.12745064583729815,0.3789723038508498,1.9809519193189342,-0.35579979429498637,-0.32255444944707,-0.11344959688832285,-0.24251879780577887,-0.11631378185961472,-0.17162637647355536,-0.3648519123741222,1.311243759058882,-0.37934051443926087
