player,season_end_year,squad,comp,nation,position_group_model,age,league_strength,cmp_percent_total,cmp_percent_short,cmp_percent_medium,cmp_percent_long,ppm_team.success,plus_per__minus__team.success,xgplus_per__minus__team.success..xg,xgplus_per__minus_90_team.success..xg,on_minus_off_team.success..xg,ga90,save_percent,cs_percent,_per_90_expected,cmp_percent_launched,launch_percent_passes,avglen_passes,launch_percent_goal,avglen_goal,stp_percent_crosses,avgdist_sweeper,pass_cmp_pct,avrg_dist_pass,avrg_prg_dist_pass,att_total_p90,att_short_p90,att_medium_p90,att_long_p90,att_p90,live_pass_p90,dead_pass_p90,err_p90,touches_touches_p90,def_pen_touches_p90,def_3rd_touches_p90,ong_team.success_p90,onga_team.success_p90,onxg_team.success..xg._p90,og_p90,recov_p90,sota_p90,saves_p90,ga_goals_p90,fk_goals_p90,ck_goals_p90,og_goals_p90,cmp_launched_p90,att_passes_p90,thr_passes_p90,att_goal_p90,stp_crosses_p90,att_(gk)_passes_p90,live_touches_p90
Fernando Pacheco,2020,Alavés,La Liga,ESP,GK,27,84.5,-1.4277057886880609,-1.7545404947307452,-2.5861426678651105,0.23922658144845751,-0.4141350349116583,-0.9271241116030184,-1.3036751607007746,-0.16743988009026325,0.08658555929614184,-0.06327944209643686,0.2195671481871098,-0.04794571851155573,-0.030767452067211137,1.171228056761892,2.1546023594171744,1.8176825004305526,2.2394687228562034,1.713193550778617,-0.7675374429007557,-0.4348940505118207,0.5324120056461216,1.419336447251914,1.725232954938626,0.6376544874986945,-0.29331931375405285,-0.2948995937264368,1.3767222686134004,0.6310547023046283,0.3011601070611057,1.2652177915797695,-0.3239645081418822,0.7748781548572543,0.7574243886738475,0.7848271362281237,0.1462593625210983,0.21590631236091068,0.22061320470158688,-0.13990736986033273,0.06877986092228275,0.4966987288227951,0.4894165131549555,0.26774033251312845,2.2797972465856926,-0.03686268899993065,-0.29167937863505067,2.235324165115963,0.8541053284663616,0.4426481752026868,1.385906511614356,-0.030675685986368263,-0.33985595131849283,0.7748818553148323
Roberto,2020,Alavés,La Liga,ESP,GK,33,84.5,-2.120987442294519,0.18051470215274018,0.5439644279710321,-0.3559291959837186,-0.8816908336553744,-1.2771588094858142,-1.0405740937397994,-0.47149120139169076,-0.3498872091255269,0.2798091160435562,0.09925445612196174,0.1478701734676309,0.30137168598290043,0.8261436770309856,3.530979046546606,3.9009711524951505,2.355502317878292,2.786666741383994,-0.5649893177290007,-1.0234574358221578,0.35261066217823184,1.5544683361681844,2.15139828910927,0.43046283652992084,-0.3644066721869037,-0.5859543472526602,1.2336184261452106,0.4160985303555494,0.07697999454436574,1.135950137912284,-0.3239645081418822,0.6344899752887184,0.7157226684677178,0.6414330887738497,-0.22666062069129783,0.5354236597087029,-0.0010755057878000574,-0.13990736986033273,0.7645030770569041,1.1514367106815941,1.310142301077447,0.5905830440535096,-0.22904476199720597,0.07610436726791354,-0.29167937863505067,2.109419481260023,0.7143925191176294,-0.42026267977899967,0.923416179602656,0.011940803996454313,-0.33985595131849283,0.6344933600884728
Antonio Sivera,2020,Alavés,La Liga,ESP,GK,22,84.5,-2.0684661049000908,0.18051470215274018,0.5439644279710321,-1.0858372249099728,0.10736950984094806,0.12297998204536875,0.28637041788946765,0.4406627625125917,0.6966554515218835,-0.2508345205462996,-0.9434555417759986,0.728324424691648,-0.2907024296716463,1.3885034069628337,2.63797274358763,2.5602408318595185,1.9377813757987723,1.8532117930314917,-0.5360538712758929,-1.9063025137876637,0.3675005853174966,1.209464907645511,1.64451049186303,0.45942113665269857,-0.08370660714462319,-0.3472201982339607,1.0430652815272243,0.45696090820433477,0.03574722104908528,1.3595775237265983,-0.3239645081418822,0.5697201706344664,0.552616921910983,0.5818496806296983,0.3831895595134418,0.0408406812556343,0.6218354566675498,-0.13990736986033273,0.047954954575921215,-0.14867491645426217,-0.37121619981564974,0.09085271275570925,-0.22904476199720597,-0.2662816464590487,-0.29167937863505067,2.1378097531098916,0.6637052526495358,0.3476543308639955,1.2619999261991084,0.002068549022537905,-0.33985595131849283,0.5697234098016208
Régis Gurtner,2020,Amiens,Ligue 1,FRA,GK,32,83.1,-0.8604753448282317,-0.6709095844759946,0.10206695561769323,0.2841439986131507,-0.8097591723101875,-1.62719350736861,-1.3379926911739453,-0.1624554322000759,0.014666750863025955,0.11055209402782629,-0.39202236981073135,-0.348662981193878,-0.3051432617607815,0.6855537445480233,0.9830436316820031,0.9719910674142304,1.409828518448268,1.0481069000774592,-0.6807311035414322,-0.9131018010764692,0.6815219911576874,1.2723845089705528,1.3029251467331573,0.5461144555317119,-0.2724194438408774,-0.0055059528789722515,1.034598634494142,0.5361061276940764,0.2684178714867397,1.0685206950644695,0.8796278087489448,0.6974631140718399,0.7669525555956161,0.7088266321040695,0.22601491657262546,0.3745305945131782,0.15919583650809224,-0.13990736986033273,0.5716455681877757,0.8382462669722778,0.9729702546331471,0.428015490626663,0.5534750073465076,1.02174192899,0.2608919671853601,1.3367985116314494,0.7653633202088235,0.4726518113051974,1.2864945379034305,0.029922411270373542,-0.33985595131849283,0.6974666404644548
Ludovic Butelle,2020,Angers,Ligue 1,FRA,GK,36,83.1,-0.7344241350816026,-0.477404064787646,-0.3030057273728643,-0.07519533870439009,0.1972840865224316,-0.40207206477882484,0.1262219423480044,0.0668291707485415,0.03202646324343323,-0.14562069605003514,-0.432126600499115,1.357732648910462,-0.17517577295856399,-0.23467126806772884,0.31124072486882765,0.4563255594774488,1.1951663676574045,1.0014341526598343,-0.015215835119951384,0.3008101811261008,0.7134983600186585,1.0351868861906788,0.9946910983237918,0.4124042841339199,-0.11035961812820513,0.0597028306281189,0.6931648108715601,0.414008687330435,0.1692021258987766,0.9093936008191446,0.9722118331251624,0.5487026350689154,0.49830563011759166,0.5548859942927784,0.17828982256225614,0.1388475089256822,0.22668968029793352,-0.13990736986033273,0.15288044424412817,0.2935549629402014,0.2844166551655847,0.1898795426199055,1.456382433512331,-0.15068978712387768,-0.29167937863505067,0.6488396928633422,0.6878275059686887,0.916018942784674,0.9894188626176776,0.28703498586578036,-0.33985595131849283,0.5487058269788894
Danijel Petković,2020,Angers,Ligue 1,MNE,GK,26,83.1,0.07440446079259873,0.18051470215274018,0.5439644279710321,1.1375749247423088,0.41307907055799303,0.03547130757466981,0.02326935092849231,0.056860274968166834,0.002266956305592185,-0.4795602259729616,1.6332412799526137,1.8962263518532252,0.20028586135895343,2.4237565461555546,0.6881057701542675,0.2706859766202077,0.6614118305557959,0.5347066784835834,1.3158147017230102,-3.5248518233910913,0.9234982811401388,1.3616381370612354,1.1057457869524658,0.4244943319244629,-0.3002623213862263,0.1817797392867427,0.7170993707535438,0.3958882191492585,0.00034081772161616243,1.2501870377864692,-0.3239645081418822,0.5697201706344664,0.6702913874633304,0.5818496806296983,-0.19587491447903935,-0.17150744536280277,-0.01097046056205302,-0.13990736986033273,-0.6340607282674242,0.3827441823138748,0.8102212220317232,-0.12370541861671588,-0.22904476199720597,-0.2662816464590487,-0.29167937863505067,1.5039660750704287,0.5430939860537708,1.1254164313870292,1.3763081141526115,1.9518389063710393,-0.33985595131849283,0.5697234098016208
Bernd Leno,2020,Arsenal,Premier League,GER,GK,27,91.2,0.3580196827225137,-0.05169192147327589,-0.008407412470640158,-0.6928098247189128,0.10736950984094806,0.12297998204536875,-0.6859596121837022,-0.05279757861595454,0.03202646324343323,-0.09987555496470271,0.8712608968733346,0.028981953337410528,0.17140419718068287,-1.6022278840383595,-1.0077869336302117,-1.1938040659202522,-0.8296198654780449,-0.888812117753982,-0.33350574610413786,0.4847362390355812,0.997774933082824,0.7005970908665056,0.3330069135938545,0.7721208589392968,0.819696143682522,1.0128272062520314,0.367339592921432,0.7694088249329578,0.6851720322514522,0.8062450147214046,0.2485256086125315,0.9198277809953217,1.0395733172997461,0.9245515468232053,0.40102710616417275,0.17887898780034875,0.35389098861669677,-0.13990736986033273,0.651959783549303,0.8552930092530694,1.2007205996136974,0.23032764753234797,-0.22904476199720597,0.34636829882815445,-0.29167937863505067,-0.054000592399163896,1.1126031762512594,1.6252805220402808,1.1695695228029577,0.28779933525231827,-0.33985595131849283,0.9198318073669737
Emiliano Martínez,2020,Arsenal,Premier League,ARG,GK,26,91.2,0.09541299575037049,0.18051470215274018,-0.45030488482397896,-0.6366630532630472,0.9166006999743026,0.6480320288695623,-0.21695336238370258,-0.06775092228651655,0.002266956305592185,-0.22796195000363342,1.1620165693641125,1.0220482626604281,0.5757474956764709,-1.0270872511535145,-0.5244165494597561,-0.4718723548087581,-0.15082333459882546,-0.21205728019841774,0.3030740758642349,-0.3981088389299247,0.9271130594232805,0.8138101140631668,0.4544602776728503,0.8018261347569379,0.644662106436862,0.918764088040421,0.5074757323430196,0.7990901801871352,0.8133104131900802,0.6302366768067109,-0.3239645081418822,0.9209442297741025,1.0017945511205273,0.9300394512205706,0.7545118369996708,0.062323371108083205,0.3431633155025794,-0.13990736986033273,-0.15638437452500334,0.7893446459274158,1.241685583429013,0.11255898285564332,-0.22904476199720597,0.7861889793942595,-0.29167937863505067,0.2660642495069756,1.2726748228233278,1.3599555862140138,0.8323434687552015,0.7045928100749551,-0.33985595131849283,0.9209482586560498
Tom Heaton,2020,Aston Villa,Premier League,ENG,GK,33,91.2,-1.5222441959980324,0.18051470215274018,0.06524216625491717,-1.2205894764040508,-0.39615211957536156,-0.7521067626616206,-1.6239721117837012,-0.3070044210155087,-0.09197148233090448,0.09682855170222655,-0.08121458197576319,-0.20180106220948799,-0.2907024296716463,-0.6820028714226077,1.3681013953432128,1.1988838909064146,0.9224874193554956,0.9897659658054279,-0.5360538712758929,-0.8027461663307814,0.5090132364292093,0.9323810977403927,1.0858984357856702,0.6237172933425424,-0.142517055293179,0.19908742955025277,0.981122838768468,0.6578909305804719,0.28773660660378186,1.3890288084027873,-0.3239645081418822,0.8262504071025334,0.8790750127995188,0.8077752263968072,0.3630481865050076,0.3618485515952114,0.37932002744007265,4.320692211554196,-0.2748049755991068,0.8514723080439949,1.0185109538337684,0.4152014598471345,0.8701468872481443,0.7891222866012085,0.48450779609596123,0.9536129972769662,0.8775784752216913,1.112410376194336,1.4409170899524175,0.2576906159391307,-0.33985595131849283,0.8262542230687917
Ørjan Nyland,2020,Aston Villa,Premier League,NOR,GK,28,91.2,-1.448714323645832,-4.115307834928595,-0.22935614864730694,-0.9173969105423756,-1.007571241009452,-0.6645980881909217,-0.13687912461297094,-0.06276647439632922,0.2453029296312941,0.2066168903070243,-1.3846020793482121,-0.20180106220948799,-0.7383682244348401,-0.6308792596106217,0.9175018846758394,1.302016992493771,1.8101444212744746,1.7598662981962419,0.07159050423937213,-1.612020821132495,0.5277793662318168,0.9693317429740217,1.0791955674348652,0.6020767221985438,-0.2995391297616718,0.2528279683721642,0.9724182592057233,0.5995016184664607,0.32136325382800135,1.1171527826218044,1.0828317064058377,0.7134079403450476,0.732075939877643,0.6932419358466517,-0.07920255478407935,0.4671128018514578,0.2635470032584939,-0.13990736986033273,0.04922028979455442,0.6750291681602055,0.5594045310961956,0.521561243636904,-0.22904476199720597,-0.2662816464590487,-0.29167937863505067,0.9218647380954113,0.8595475170736794,1.0640901062066415,1.2276438474449942,0.3934695743752426,-0.33985595131849283,0.7134115025890367
