player,season_end_year,squad,comp,nation,position_group_model,age,league_strength,gls_per,ast_per,g_minus_pk_per,xg_per,xag_per,xg+xag_per,npxg_per,sot_percent_standard,sh_per_90_standard,sot_per_90_standard,g_per_sh_standard,g_per_sot_standard,dist_standard,npxg_per_sh_expected,cmp_percent_total,cmp_percent_short,cmp_percent_medium,cmp_percent_long,succ_percent_take,ppm_team.success,plus_per__minus__team.success,xgplus_per__minus__team.success..xg,xgplus_per__minus_90_team.success..xg,on_minus_off_team.success..xg,pk_success_rate,pass_cmp_pct,tklw_win_rate,aerial_win_pct,avrg_dist_pass,avrg_prg_dist_pass,avrg_dist_per_carry,pk_p90,pkatt_p90,crdy_p90,crdr_p90,fk_standard_p90,att_total_p90,att_short_p90,att_medium_p90,att_long_p90,kp_p90,final_third_p90,ppa_p90,crspa_p90,att_p90,live_pass_p90,dead_pass_p90,fk_pass_p90,tb_pass_p90,sw_pass_p90,crs_pass_p90,ti_pass_p90,ck_pass_p90,off_outcomes_p90,blocks_outcomes_p90,tkl_tackles_p90,def_3rd_tackles_p90,mid_3rd_tackles_p90,att_3rd_tackles_p90,att_challenges_p90,sh_blocks_p90,pass_blocks_p90,int_p90,err_p90,touches_touches_p90,def_pen_touches_p90,def_3rd_touches_p90,mid_3rd_touches_p90,att_3rd_touches_p90,att_pen_touches_p90,carries_carries_p90,prgdist_carries_p90,prgc_carries_p90,final_third_carries_p90,cpa_carries_p90,mis_carries_p90,dis_carries_p90,rec_receiving_p90,prgr_receiving_p90,ong_team.success_p90,onga_team.success_p90,onxg_team.success..xg._p90,2crdy_p90,fls_p90,fld_p90,off_p90,crs_p90,pkwon_p90,pkcon_p90,og_p90,recov_p90,won_aerial_p90,lost_aerial_p90,live_touches_p90
Burgui,2020,Alavés,La Liga,ESP,MF,25,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,-0.43472219393467376,-0.4122926555367603,-0.5697810947675206,-0.4152699565979066,-0.020520291140750723,-0.5520008747510027,-0.21334930232359506,-0.18556366292656692,-0.09132916580397818,0.02670951685254306,-0.21211395575154077,-2.7784108899549294,-3.53693084908373,0.13559455391650369,-0.9424391985003298,0.021286415879511886,0.25646042772126126,0.002891072758113457,0.04190345984303678,0.28329291987211,0.43851058640084506,-0.22239960865762637,-0.0702487567013127,-1.2027254787945616,-1.092550608027108,-0.31515283338901334,-0.085687841499317,0.48235457566502815,-0.16944862932073188,-0.1798141746105159,-0.28147198402484613,-0.03895987377893324,-0.2472623464587202,-0.23568359903452032,0.2207686933578721,-0.8753727769974693,0.5406298269635803,-0.36418211578235854,0.20037128783835126,-0.31407516478529446,-0.16416119592794556,-0.2941338553211933,-0.3750725108074016,0.7251533267519031,1.7159755353795565,-0.10363145160153861,-0.33540485165062306,-0.3019272905255017,-0.26329865849469714,-0.2672680189231134,-0.2541083442750947,-0.39383867544158796,-0.3626593263027994,-0.19206758226429801,-0.3670346894297102,-0.22147635738660462,-0.3859873262777499,-0.3698664682969597,-0.29532122592054216,-0.23979801203362025,-0.17983938392301607,-0.1718344308953029,-0.40191732061226065,-0.5404063322321523,-0.10185644158101914,0.12163841528917382,-0.3290362033816278,-0.24717883902772533,0.0396117738442499,-0.43259094888595223,-0.3514764053977561,-0.19163631231404843,0.6227800937424215,-0.3470627187143565,-0.10087769212801428,-0.32158117157605964,1.1713657809483053,0.7648462368657057,0.03756747619272751,-0.11878869246266777,-0.3883692596014683,0.7591686155928123,-0.09401537303900862,-0.2731813231026345,-0.18225744619532397,-0.11518225147194591,-0.10437579752886209,1.020572804685473,-0.2948939245701389,-0.29163047837940537,-0.17174285458011498
Víctor Camarasa,2020,Alavés,La Liga,ESP,MF,25,84.5,-0.34149894909298345,-0.008653671869986038,-0.31958234111363054,-0.3360417277850931,0.30377970817740024,-0.029818704200200333,-0.31531400336911874,-0.31961622777485027,-0.2419563947607048,-0.11703752988266498,-0.6793530919545654,-1.1742151655447772,1.2284601320025657,-0.9293160751121892,-0.0713349792551884,-0.4590956300187819,0.2278090988877137,-0.014788922482458203,-0.7034769924583921,-0.46079207780922454,-0.7986197808780572,-0.5437070895543167,-0.0791605384577038,0.10022098442822869,-0.22239960865762637,0.570936122344586,0.5659050468413219,0.35087794642513853,0.7862199329764018,0.2261716341218573,0.28126716227890264,-0.16944862932073188,-0.1798141746105159,-0.19277052707531603,-0.03895987377893324,-0.2472623464587202,-0.010046589107662129,-0.04270771800046528,-0.017954611932061132,0.2639253375500704,0.10214246767743525,-0.08234968874942507,0.11707209260018593,0.025272004728173626,-0.014175268000018365,-0.04863757900157124,0.33575915880829255,0.33465917252237476,0.034629005885210104,0.17174900887585534,0.10464676373983454,-0.17885613378369866,0.11970000060452657,-0.015436564927937343,-0.11932197162700571,-0.06316793051710166,-0.09325687422158288,0.017924948970018176,0.03978299342796407,-0.07804714488362056,0.09947214471369888,-0.147273904379994,0.06434420448247001,-0.17983938392301607,0.08139607650759513,0.005754129663271501,-0.06811646262241683,0.12942765487905114,0.09585668992144705,-0.19936382651138343,0.15301583031986044,-0.10130647178852356,-0.17779939160595992,-0.1516258248926625,-0.03489149668686819,0.12308484230133063,-0.08568396775644055,0.03511421756672747,0.06362993126033076,-0.1228912574154232,0.03761668574862344,-0.023987815258139533,-0.11878869246266777,-0.0654969900165134,0.004545552170741514,0.17711560828469256,0.1465780266445616,-0.18225744619532397,-0.11518225147194591,-0.10437579752886209,0.13781256907087458,-0.04659794503626597,0.018018947075801713,0.08149808829751942
Ljubomir Fejsa,2020,Alavés,La Liga,SRB,MF,30,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,-0.43472219393467376,-0.4122926555367603,-0.5697810947675206,-0.4152699565979066,-1.7630792263133301,-0.4978661242765062,-0.21334930232359506,-0.6793530919545654,-0.09132916580397818,2.691460880880855,-1.1683834482324054,-0.0713349792551884,0.2658490290171772,-0.1717872626541993,0.3885372844818339,-2.977553483837467,-0.6890087841143792,-1.0657900654234473,-0.8716489972168346,-0.2637433181627016,-0.15687911307095978,-0.22239960865762637,0.5713239256254478,0.9754826422517371,1.1472523212953434,0.7022744649518299,0.23720847284002786,-0.15676221825642125,-0.16944862932073188,-0.1798141746105159,0.010362580442691907,-0.03895987377893324,-0.2472623464587202,-0.11385281352763328,-0.199226783967377,-0.03329181734567276,-0.009463982688203403,-0.3093877058938168,-0.16167232687603153,-0.31407516478529446,-0.16416119592794556,-0.15691685820414808,-0.11591264402142877,-0.45440972547532055,-0.36815309139769387,-0.10363145160153861,-0.09703700662672753,-0.3019272905255017,-0.12438748234797825,-0.2672680189231134,-0.05779625095710838,-0.006761142145781194,0.15738627168046582,0.06800823554584078,0.26623860885381234,-0.07821582277963374,0.26130084551190336,-0.1125064909336087,0.04563966651291876,-0.03966779017341429,-0.17983938392301607,-0.031757866103609055,0.268717775070008,0.17296113181994321,0.08570219964326434,-0.4300216959017334,-0.3290362033816278,-0.12358083066515872,-0.4308080203460081,-0.3860196337088205,-0.3514764053977561,-0.19163631231404843,-0.17301518663065507,-0.23956821331086242,-0.23054508868894832,-0.32158117157605964,-0.2426336049773756,0.15616740931205716,-0.13258225663474313,-0.11878869246266777,0.5221516664036497,-0.05552974866196046,-0.09401537303900862,-0.2731813231026345,-0.18225744619532397,1.5368124301170198,-0.10437579752886209,0.23506937960549587,0.4403275293320696,0.0819186122269908,-0.031660517318634486
Manu García,2020,Alavés,La Liga,ESP,MF,33,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,0.009339903738439083,-0.3645544979558163,-0.25215615913968514,0.03453183293163868,0.2915798166513531,-0.12384421190725799,-0.02760516975894421,-0.6793530919545654,-1.1742151655447772,-2.115541579719238,0.744155536729324,-0.9086932058699384,-0.8660821052670398,-0.61236786640554,-0.6399445432771107,0.17359176980559304,-0.5585992376542909,-0.7095630193629271,-0.6022681444940521,-0.04895608359688597,0.20847365705946594,-0.22239960865762637,0.372167575566151,0.38904199427773356,0.9338010164923918,0.454034745467121,0.23299162981495128,-0.05442779776082852,-0.16944862932073188,-0.1798141746105159,0.3599112504404141,0.05528645184244252,-0.2472623464587202,-0.1330505731258352,-0.1577192818919637,-0.12107458337343123,0.00900349255700492,-0.3203911588200873,-0.15388522476454156,-0.26683966200615306,-0.16416119592794556,-0.17274982685623802,-0.12943750966799206,-0.49052522360464673,-0.3929710482884045,-0.07333645557876856,-0.04965427790057443,-0.2591657041775542,-0.26329865849469714,-0.2672680189231134,-0.018773358996085177,-0.0071547136082070134,0.14045170681423533,-0.04917132395300799,0.4174257674069097,0.007507435599829752,0.4237059213940535,0.8642053702852093,0.01609748155590524,0.13339855826797378,0.2698700028491323,0.02584176101744124,0.2871774091221236,0.015595645291817787,0.19717312249038965,-0.29205175549750323,0.05454220272895527,-0.06651258045421055,-0.3270200806762888,-0.30232385376415305,-0.22010538323553647,-0.14011850687278152,-0.03279872980243666,0.08247811121521302,-0.12023685181054747,-0.13539215726363524,0.02431714021914071,0.06936017063775413,0.002467873318938548,1.5877262107369141,0.5212258698342496,0.17658192726216973,0.1733250124603907,-0.22903296810736254,-0.18225744619532397,1.8651957145609879,-0.10437579752886209,0.0867070912493005,0.8965859540380324,0.4818476543260419,0.025941483447912996
Abdallahi Mahmoud,2020,Alavés,La Liga,MTN,MF,19,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,-0.43472219393467376,-0.4122926555367603,-0.5697810947675206,-0.4152699565979066,-0.020520291140750723,-0.5520008747510027,-0.21334930232359506,-0.18556366292656692,-0.09132916580397818,0.02670951685254306,-0.21211395575154077,0.6283753196968626,-0.2683207197461612,0.5966672787725581,2.418612526202104,0.9613780832163581,-2.1887185684053954,-0.17522245027214667,-0.16891633794001049,-0.29394777302351943,-0.15687911307095978,-0.22239960865762637,0.7389579242118169,1.9808094673500287,0.45397998602887024,0.26387366914579574,-0.13231770072935345,0.24942936719630807,-0.16944862932073188,-0.1798141746105159,0.473073962262933,-0.03895987377893324,-0.2472623464587202,-0.3992809750170031,-0.2016869058886341,-0.43992828075647455,-0.7407872015480346,-0.36418211578235854,-0.31806930537815564,-0.31407516478529446,-0.16416119592794556,-0.48312782681768424,-0.44061294043860316,-0.5625363385961494,-0.4917402336863718,-0.10363145160153861,-0.33540485165062306,-0.3019272905255017,-0.26329865849469714,-0.2672680189231134,-0.2541083442750947,-0.39383867544158796,0.20348449643244498,0.1441488532599932,-0.0395657338699413,0.5193314070941789,0.48718516175428794,-0.3698664682969597,-0.29532122592054216,0.6226052466402936,-0.17983938392301607,-0.1419851195358814,0.2586330367890715,0.11701438698417431,-0.014335438526448243,-0.4937038154559819,-0.3290362033816278,-0.11306050659639247,-0.11137889369632993,0.04905449491964728,-0.13897081280475773,-0.19163631231404843,0.5048689396228999,-0.06913284619084885,-0.23792840574587362,-0.032449231192476405,-0.19044293242341542,0.1411460484816948,-0.1134978104750128,-0.11878869246266777,0.20017469421433995,0.33255108441076603,-0.09401537303900862,-0.2731813231026345,-0.18225744619532397,-0.11518225147194591,-0.10437579752886209,0.2012535101587329,0.33875088109558016,0.4107847972584591,-0.14189231314878079
Tomás Pina Isla,2020,Alavés,La Liga,ESP,MF,31,84.5,0.07549955721673074,-0.24693204148764336,0.10908406994720045,-0.13868079548593187,-0.1736018676320401,-0.18863117201411808,-0.11540209691154309,1.4879635631877508,-0.4880234423720523,-0.16519341610313001,5.493014770895416,4.240214833159217,-3.0299170477681683,9.828715715297538,-0.17457092500221308,-0.35734901120671786,-0.12055695989241547,-0.08873206042591138,1.7964315754317692,-0.39558730457918034,-0.17522245027214667,-0.13377970497616928,0.0047407250445679295,0.23891972123700145,-0.22239960865762637,0.5473432451702775,0.6901871918860057,1.05308643237488,0.48692442205752223,0.4513446603407637,-0.00946276053734265,-0.16944862932073188,-0.1798141746105159,0.23054133667043258,0.0989735506981844,-0.2472623464587202,-0.06186138705313242,-0.08064777366604134,0.0069639130543478825,-0.17370282507525264,-0.23600233550737698,-0.08736552729007825,-0.21037847509046073,-0.16416119592794556,-0.07476585269133774,-0.032935863268331166,-0.4360668178923229,-0.3471874154737218,-0.10363145160153861,-0.056599604345888135,-0.23934392717251607,-0.10082219353737416,-0.2672680189231134,-0.02449330655495001,-0.09201036078831004,0.22960125015981486,0.05509152361218989,0.410704080024741,0.029869134133661223,0.009019275451029101,0.38268167979676737,-0.01046231706350532,0.07230983396265335,-0.17983938392301607,0.05502033543630019,0.40116250378787094,0.24028077183723562,0.1615571118300651,-0.3426669754858415,-0.24586835452586098,-0.07695854806494244,-0.2524501031756316,-0.32364733659659045,-0.1832428112616324,-0.19163631231404843,-0.11198887797024018,-0.06416981275292906,-0.12387737025820032,-0.2997815411503133,-0.13419973373013278,-0.10292931593713117,-0.05455172733270199,2.3787669731575534,0.5878663463311027,0.06107441510760757,-0.09401537303900862,-0.20856836605226256,3.1843815606954133,-0.11518225147194591,-0.10437579752886209,0.23216810016609796,0.7561518245102999,0.30416819292056907,0.05512126029802446
Pere Pons,2020,Alavés,La Liga,ESP,MF,26,84.5,0.13507077240383272,0.025386095218250703,0.17032212867017626,-0.3360417277850931,0.017350762691736018,-0.2203936655769016,-0.31531400336911874,-0.1375578315627897,-0.38959662332751327,-0.15831400378592073,2.406830839470425,4.240214833159217,-1.6452913390083588,-0.4511813288717568,-0.8283985814000321,-0.5989972308853715,-0.9709799857380268,-0.478614060491394,-1.9901946376959747,-0.34668372465664754,-1.6001306345142279,-1.3869862806865059,-0.30065987410370115,-0.23468572152466155,-0.22239960865762637,0.39107113265188254,0.6164373475737756,0.657059761005918,0.38425954608417306,0.08216636686863445,0.17061124109830716,-0.16944862932073188,-0.1798141746105159,0.034771537581061336,-0.03895987377893324,-0.2472623464587202,-0.16551315590477902,-0.10720562007215347,-0.23154460945487101,-0.03071537504801262,-0.16625745506363698,-0.3964989757299447,-0.14328061705262712,-0.05159817733954385,-0.19523627464839713,-0.17290920029057003,-0.2500822286219896,-0.1346097416315893,-0.04886099463757841,0.009001630314049498,-0.18596399960673413,-0.06259243707682759,-0.2672680189231134,-0.2541083442750947,0.21203727970800662,0.19099602975446164,0.136732314241075,0.18195738312637302,-0.014485952605209206,0.14262444956517492,0.1879045120548616,0.16212866889105226,0.04936072763939796,0.6331922004343514,0.029026560127470666,-0.03278623853504561,0.09740992926244565,0.10875082207190656,-0.16139116731374506,-0.020825939974962415,0.05099582324313288,-0.17514516622371015,-0.19708049290747895,0.06415953305619657,-0.005357776830643964,0.3427411027085578,0.041221662017014556,-0.0889366827663063,-0.09268505210572289,-0.00234695515793229,0.3534899395679749,-0.051414540834931896,-0.11878869246266777,0.2420074752453656,0.032781688649116826,-0.09401537303900862,-0.15345731445047467,3.97653191525794,-0.11518225147194591,-0.10437579752886209,0.19507594070224407,0.17723357769059297,0.12542859153057673,0.02912641380157098
Luis Rioja,2020,Alavés,La Liga,ESP,MF,25,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,-0.3360417277850931,0.16056523543456813,-0.09334369132576747,-0.31531400336911874,-0.31961622777485027,-0.30593382713965517,-0.13767576683429286,-0.6793530919545654,-1.1742151655447772,0.10508455697102302,-0.4511813288717568,-1.275754346303802,-0.34463068385521056,-0.7558127141385352,-3.012847060917029,-0.45138537216694713,-0.5585992376542909,-0.5314494963326669,-0.578843722518158,-0.06238028575724946,0.15096442472412117,-0.22239960865762637,0.28506542986616423,0.9196311519684984,-0.07474842219539575,-0.034799206852185356,0.27195034488885206,1.0257187277805888,-0.16944862932073188,-0.1798141746105159,-0.07090102227011706,-0.03895987377893324,-0.2472623464587202,-0.3588989217859129,-0.23287490314844345,-0.4196750483731725,-0.35718635926721953,0.05754034367804592,-0.39174949304458423,0.05552674511844589,0.21058961259158038,-0.41951296493086043,-0.4220819254510786,-0.14644077965871263,-0.253944655133371,-0.10363145160153861,-0.33540485165062306,0.43160794505367933,0.0708022731188924,-0.1559183695964775,0.029186585984275985,0.38197461803684984,-0.12566888887874358,-0.020049871065823423,-0.18426131888472289,-0.1525640072023457,-0.04754837742812281,-0.3698664682969597,0.19671413782370561,0.016917376594893636,-0.17983938392301607,-0.17201954290373336,-0.2790242308631757,-0.2380267766236093,-0.32184278812919503,0.25784296868965206,-0.0041013520381666,-0.09654119433310167,0.10683391262400876,0.7099168480482607,0.34040226816084324,0.3044984406992785,-0.03203812960041005,0.195870055517612,-0.19231337703235252,0.557021313930643,-0.07789273106782776,-0.010984175942961161,-0.026808554203707397,-0.11878869246266777,-0.023380761111044514,-0.035778586406291314,0.12053319418959944,0.4841426386040508,-0.18225744619532397,-0.11518225147194591,-0.10437579752886209,-0.02254951353343525,-0.07876701411051376,0.16575621273362265,-0.1719279742168984
Aleix Vidal,2020,Alavés,La Liga,ESP,MF,29,84.5,0.13507077240383272,0.33174399901238155,0.17032212867017626,0.15736060296281001,0.4947323385011764,0.4148562056787692,0.18446576277482044,1.0653280005526102,-0.07955214333721544,0.07558601499919512,0.43167312335843117,-0.09132916580397818,-0.6264158174681217,1.2222902829697562,-1.0578117941711966,-0.4845322847217983,-0.7148284719291076,-0.8684960605568761,-0.5616754560444543,-0.3303825313491365,-0.7095630193629271,-1.105893216975776,-0.1026528922383399,0.09683808840850251,-0.22239960865762637,0.3359731903835416,0.9196311519684984,-0.06153021198978915,0.5418016172918662,0.8484193993192198,0.7128534798788655,-0.16944862932073188,-0.1798141746105159,0.03637831759845856,-0.03895987377893324,0.8602191304460538,-0.05931580432638429,-0.14500110024551688,-0.1391061938229343,0.49277581774197815,0.4116459861683845,-0.11407217793699789,0.2652851855836242,0.5712158640786844,-0.0801443762780533,-0.2264940218328346,1.400223890340836,0.9440398138170124,-0.07610708339055076,0.14056013404836099,0.7664704505952147,1.0479201848006134,0.6781753661793738,0.03097489886197177,0.12143035502423899,-0.15398368171031668,-0.09764744702237235,-0.11413487709902488,-0.11745531332094264,-0.007948675570114755,-0.2764323148523436,-0.0654341656179949,0.03872039834273106,-0.17983938392301607,0.055404539043636306,-0.19322612224620464,-0.22244211063119448,-0.02743079490562733,0.4476462700089169,0.1356281383086059,0.10877526101230932,0.2508244829561268,0.5649601689081857,0.2602256052440757,0.3232323973084423,0.21838568193259622,0.08222018831502446,-0.011485871531494671,0.4836256856461504,-0.016400440257912464,0.03215009418963322,-0.02112366483059705,-0.11878869246266777,-0.1404468180864488,0.24015833848329177,0.14887540676575742,0.8298648166579882,1.9077022883363854,-0.11518225147194591,-0.10437579752886209,0.02196988702242017,-0.1466044550378998,0.016588695688017883,0.055505479738156865
Wakaso,2020,Alavés,La Liga,GHA,MF,29,84.5,-0.34149894909298345,-0.24693204148764336,-0.31958234111363054,-0.2867014947103028,-0.2690781827939282,-0.3792061333908193,-0.26533602675472484,-1.3014311502041769,-0.06970946143276154,-0.16519341610313001,-0.6793530919545654,-1.1742151655447772,1.7509603994590974,-0.9293160751121892,-1.0807531154483117,-1.2603502531637885,-0.7148284719291076,-0.1828415087175799,0.572736835267047,-0.5585992376542909,-0.8876765423931873,-1.2230153268552468,-0.21675861060142942,-0.12305015287369814,-0.22239960865762637,0.33254944330706465,0.6248593976958513,0.3194990648066114,1.0191931444681215,0.702381770270357,0.6458937845330823,-0.16944862932073188,-0.1798141746105159,0.7912418164653404,0.10553157010044797,-0.2472623464587202,-0.08649503325158592,-0.3726010202563025,-0.08005586128580576,1.054208154770229,-0.29704508355727083,-0.0037962180840986678,-0.20544823497246784,-0.16416119592794556,-0.113143525641779,-0.12762290742973925,0.07779570075853295,-0.15103273386170013,-0.10363145160153861,1.1249001069525093,-0.05608149839841843,1.2685137500195498,-0.231814915454734,0.10668971967175779,-0.19622699632330778,0.5428177775574667,0.30583672599459,0.5640695583349329,0.21734975407512222,0.18296996132535506,0.4184614436578098,0.24180322638416835,0.10758312910642553,0.5096215387432473,0.09197485310060645,0.048060085754664014,0.10864504033787666,0.21333444036924157,-0.15370316013484717,-0.2636946666344626,0.09532409565099152,0.09060309142215603,-0.03315934155223601,0.051340119299182335,0.04531346937645517,0.06471018549972242,0.08098827747149792,-0.05653224880919392,-0.1388924526846919,-0.03865910856358992,0.11615010662092072,-0.06872652867921246,2.497512799816036,0.5413130576757763,0.16292655744721088,-0.09401537303900862,-0.019362692133129647,-0.18225744619532397,-0.11518225147194591,-0.10437579752886209,0.333291451872826,0.15552233635514232,0.2908869442851994,0.09207730083546095
