target_player,target_season,target_comp,candidate_player,candidate_season,candidate_squad,candidate_comp,archetype,similarity_score,pc1,pc2,pc3,table,target_archetype
Aaron Ciammaglichella,2023,Serie A,Abdoulaye Kamara,2023,Dortmund,Bundesliga,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Benzema,2023,Nantes,Ligue 1,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Benjamin Goller,2023,Werder Bremen,Bundesliga,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Riccardo Pagano,2023,Roma,Serie A,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Riccardo Castagnaviz,2023,Udinese,Serie A,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Pietro Candelari,2023,Spezia,Serie A,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Ibrahima Mbaye,2023,Bologna,Serie A,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Kasey McAteer,2023,Leicester City,Premier League,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Kevin Bruno,2023,Sassuolo,Serie A,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2023,Serie A,Rodrigo Mendoza,2023,Elche,La Liga,3,1.0,-6.126848725434684,-0.46506532421766167,1.6035494418850362,MF,3
Aaron Ciammaglichella,2024,Serie A,Abdelhamid Sabiri,2024,Fiorentina,Serie A,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Hwang Ui-jo,2024,Nott'ham Forest,Premier League,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Andrei Motoc,2024,Salernitana,Serie A,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Kristian Pedersen,2024,Köln,Bundesliga,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Kristian Sekularac,2024,Fulham,Premier League,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Facundo Esnáider,2024,Getafe,La Liga,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Steven Alzate,2024,Brighton,Premier League,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Lassina Sangare,2024,Granada,La Liga,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Harvey Griffiths,2024,Wolves,Premier League,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2024,Serie A,Ismaël Gharbi,2024,Paris S-G,Ligue 1,3,1.0,-6.207240079394978,-0.43231629912287417,1.4149785830031192,MF,3
Aaron Ciammaglichella,2025,Serie A,Immanuel Pherai,2022,Dortmund,Bundesliga,3,0.9429,-5.212663899790272,-0.2580826569011663,1.066902156570393,MF,3
Aaron Ciammaglichella,2025,Serie A,Niccolò Pisilli,2023,Roma,Serie A,3,0.8962,-5.585264692242163,-0.4712208851294122,1.3503852803334553,MF,3
Aaron Ciammaglichella,2025,Serie A,Boubacar Traoré,2025,Wolves,Premier League,3,0.8524,-2.2632250810177936,3.767023112410513,-1.7406591523380825,MF,3
Aaron Ciammaglichella,2025,Serie A,Charles Costes,2021,Dijon,Ligue 1,3,0.8156,-5.528054254863804,-0.8155108129819126,1.558319989329675,MF,3
Aaron Ciammaglichella,2025,Serie A,David Argüelles,2025,Getafe,La Liga,0,0.7933,-1.6886002584181483,0.812687002011586,-2.333033349643756,MF,3
Aaron Ciammaglichella,2025,Serie A,Ben Winterburn,2025,Bournemouth,Premier League,3,0.7768,-3.5320021020160937,-0.8416784588404198,-1.2797416862565,MF,3
Aaron Ciammaglichella,2025,Serie A,Erik Ahlstrand,2025,St. Pauli,Bundesliga,3,0.7222,-4.2514132013632775,-1.3051051593090222,-0.6022633517570739,MF,3
Aaron Ciammaglichella,2025,Serie A,Salim Ben Seghir,2022,Marseille,Ligue 1,4,0.7167,-1.0091457276391225,-1.4942928071829726,-3.4362919661308524,MF,3
