player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Mohamed Salah,2025,32.0,FW,Premier League,55000000.0,19.220418866907448,222495817.67174476,167495817.67174476
Gabriel Jesus,2022,24.0,FW,Premier League,50000000.0,19.00005766468437,178492592.38548967,128492592.38548967
Ryan Gravenberch,2025,22.0,MF,Premier League,47500000.0,18.802746500133402,146530842.50518537,99030842.50518537
Erling Haaland,2023,22.0,FW,Premier League,180000000.0,19.421342632104288,272008161.2560378,92008161.25603777
Kevin De Bruyne,2020,28.0,MF,Premier League,120000000.0,19.145599181548704,206456269.2402607,86456269.24026069
William Saliba,2024,23.0,DF,Premier League,80000000.0,18.851559004830982,153860821.9740955,73860821.9740955
JoÃ«l Matip,2022,29.0,DF,Premier League,18000000.0,18.32002147364483,90424107.21879584,72424107.21879584
Sidnei Tavares,2021,18.0,MF,Premier League,300000.0,18.017229094246623,66801031.45139387,66501031.45139387
Ederson,2022,27.0,GK,Premier League,45000000.0,18.527676597410274,111292962.96601619,66292962.96601619
Martin Ãdegaard,2024,25.0,MF,Premier League,110000000.0,18.968328781391456,172918125.1846634,62918125.184663385
RÃºben Dias,2022,24.0,DF,Premier League,75000000.0,18.734651504938544,136884970.21465883,61884970.21465883
Robert Lewandowski,2025,35.0,FW,La Liga,15000000.0,18.125347897776336,74428380.42115662,59428380.421156615
Virgil van Dijk,2025,33.0,DF,Premier League,28000000.0,18.228321614632343,82501051.981233,54501051.981233
Gabriel Jesus,2020,22.0,FW,Premier League,56000000.0,18.48463536435301,106604401.1013264,50604401.101326406
Aymeric Laporte,2022,27.0,DF,Premier League,45000000.0,18.372242183562975,95271586.19999003,50271586.199990034
Victor Boniface,2024,23.0,FW,Bundesliga,40000000.0,18.312488575940883,89745510.76931556,49745510.769315556
Cody Gakpo,2025,25.0,FW,Premier League,60000000.0,18.508442216757945,109172767.42270939,49172767.42270939
Harry Kane,2025,31.0,FW,Bundesliga,90000000.0,18.751162399952033,139163824.79811972,49163824.798119724
Anthony Martial,2023,26.0,FW,Premier League,15000000.0,17.96501274800079,63402429.07938805,48402429.07938805
Virgil van Dijk,2022,30.0,DF,Premier League,55000000.0,18.44123419980575,102076612.2709514,47076612.270951405
Marc Casado,2025,20.0,MF,La Liga,22500000.0,18.04847059255465,68920937.8987755,46420937.8987755
JoÃ£o Cancelo,2022,27.0,DF,Premier League,65000000.0,18.52326996108149,110803614.33046833,45803614.33046833
Alexis Mac Allister,2024,25.0,MF,Premier League,75000000.0,18.607931298001006,120592938.76935379,45592938.76935379
Ederson,2024,30.0,GK,Premier League,35000000.0,18.175366582903937,78245867.15848391,43245867.15848391
Riyad Mahrez,2022,30.0,FW,Premier League,35000000.0,18.14207392050241,75683740.54477473,40683740.544774726
Granit Xhaka,2023,29.0,MF,Premier League,20000000.0,17.91663643333647,60408260.49900975,40408260.49900975
Aaron Ramsdale,2023,24.0,GK,Premier League,40000000.0,18.195438667023375,79832292.98005226,39832292.98005226
Chris Wood,2025,32.0,FW,Premier League,7000000.0,17.623415766754807,45055956.11819568,38055956.11819568
Bukayo Saka,2024,22.0,FW,Premier League,140000000.0,18.996870555712924,177924622.61132595,37924622.61132595
Ä°lkay GÃ¼ndoÄan,2022,30.0,MF,Premier League,25000000.0,17.950623635656235,62496656.64872403,37496656.64872403
Ibrahima KonatÃ©,2025,25.0,DF,Premier League,50000000.0,18.286831493938333,87472190.89815736,37472190.89815736
Jordan Henderson,2022,31.0,MF,Premier League,15000000.0,17.77398603986216,52377413.73462477,37377413.73462477
Robert Lewandowski,2022,32.0,FW,Bundesliga,45000000.0,18.22048163653807,81856774.39424403,36856774.39424403
Ä°lkay GÃ¼ndoÄan,2023,31.0,MF,Premier League,20000000.0,17.854899179119904,56791609.99990228,36791609.99990228
Exequiel Palacios,2024,25.0,MF,Bundesliga,45000000.0,18.218831631089742,81721821.63587174,36721821.63587174
Danny Welbeck,2025,33.0,FW,Premier League,5000000.0,17.53918177482896,41416162.06609185,36416162.06609185
Robert Lewandowski,2024,35.0,FW,La Liga,15000000.0,17.74383064476611,50821529.15783251,35821529.15783251
Divock Origi,2022,26.0,FW,Premier League,12000000.0,17.643125340366936,45952798.98427007,33952798.98427007
Thiago Silva,2022,36.0,DF,Premier League,2500000.0,17.38024774883403,35330166.093584284,32830166.093584284
Ederson,2020,25.0,GK,Premier League,56000000.0,18.29119077958452,87854339.51104528,31854339.511045277
Robert Lewandowski,2020,30.0,FW,Bundesliga,60000000.0,18.322631323272944,90660408.76562835,30660408.765628353
Gabriel Jesus,2023,25.0,FW,Premier League,75000000.0,18.474565499481038,105536296.03989387,30536296.039893866
Kyle Walker,2024,34.0,DF,Premier League,13000000.0,17.580869188204478,43179187.446156494,30179187.446156494
Kasper Schmeichel,2020,32.0,GK,Premier League,9500000.0,17.49364795613008,39572616.355907075,30072616.355907075
Raheem Sterling,2022,26.0,FW,Premier League,70000000.0,18.419611830379083,99893164.75113325,29893164.75113325
Alexander SÃ¸rloth,2025,28.0,FW,La Liga,25000000.0,17.81932669173164,54806900.93637923,29806900.93637923
Patrik Schick,2025,28.0,FW,Bundesliga,22000000.0,17.761305090669218,51717411.968306325,29717411.968306325
Sven Botman,2023,22.0,DF,Premier League,45000000.0,18.11847514108103,73918606.04862823,28918606.048628226
Mitchel Bakker,2021,20.0,DF,Ligue 1,10000000.0,17.468796488940296,38601298.08576204,28601298.08576204
John Stones,2021,26.0,DF,Premier League,30000000.0,17.877302217254023,58078273.39758295,28078273.39758295
Gabriel Martinelli,2024,22.0,FW,Premier League,70000000.0,18.399924631089718,97945780.26043673,27945780.26043673
Mateo KovaÄiÄ,2025,30.0,MF,Premier League,28000000.0,17.838242862555052,55853505.32143117,27853505.321431167
Leandro Trossard,2025,29.0,FW,Premier League,30000000.0,17.86880737192809,57586997.052363776,27586997.052363776
Thomas Partey,2023,29.0,MF,Premier League,35000000.0,17.94415973299062,62093987.1470175,27093987.1470175
David Raya,2024,28.0,GK,Premier League,35000000.0,17.94190133328677,61953912.33456888,26953912.33456888
Yoane Wissa,2025,27.0,FW,Premier League,28000000.0,17.810867654932185,54345242.6809591,26345242.680959098
Patrik Schick,2024,28.0,FW,Bundesliga,22000000.0,17.680546750882904,47704997.98459053,25704997.98459053
Jack Grealish,2022,25.0,FW,Premier League,70000000.0,18.376221508349897,95651458.10399276,25651458.10399276
Ousmane DembÃ©lÃ©,2025,27.0,FW,Ligue 1,55000000.0,18.205295606780975,80623086.08981737,25623086.089817375
Anthony Elanga,2021,18.0,FW,Premier League,800000.0,17.084658561400992,26288930.71953477,25488930.71953477
William Saliba,2025,23.0,DF,Premier League,80000000.0,18.4722115362606,105288159.64479434,25288159.644794345
Martin Ãdegaard,2025,25.0,MF,Premier League,110000000.0,18.722092729406892,135176612.4820241,25176612.482024103
Piotr ZieliÅski,2025,30.0,MF,Serie A,18000000.0,17.573670172572637,42869456.011953466,24869456.011953466
Chris Wood,2023,30.0,FW,Premier League,8000000.0,17.304614803545906,32756591.698115572,24756591.698115572
Stefan de Vrij,2024,32.0,DF,Serie A,7000000.0,17.27080134398917,31667494.80878276,24667494.80878276
Callum Wilson,2023,30.0,FW,Premier League,16000000.0,17.51730167108765,40519813.97568451,24519813.97568451
Matz Sels,2025,32.0,GK,Premier League,7000000.0,17.26098935094655,31358292.9840083,24358292.9840083
Granit Xhaka,2024,31.0,MF,Bundesliga,20000000.0,17.603040632257933,44147224.13801369,24147224.13801369
Daniel Parejo,2025,35.0,MF,La Liga,2000000.0,17.067107502301653,25831557.557660382,23831557.557660382
LukÃ¡Å¡ HrÃ¡deckÃ½,2024,34.0,GK,Bundesliga,2500000.0,17.075462116659306,26048274.299508255,23548274.299508255
Alexander Isak,2025,24.0,FW,Premier League,75000000.0,18.406002020175958,98542847.34931241,23542847.34931241
MoisÃ©s Caicedo,2022,19.0,MF,Premier League,6000000.0,17.20075649875331,29525252.287369594,23525252.287369594
Oleksandr Zinchenko,2022,24.0,DF,Premier League,25000000.0,17.688184140920942,48070734.52713905,23070734.527139053
Odilon Kossonou,2024,23.0,DF,Bundesliga,35000000.0,17.870840123736187,57704176.18447454,22704176.184474543
Curtis Jones,2020,18.0,MF,Premier League,5000000.0,17.132944825148115,27589471.455402315,22589471.455402315
Anwar El Ghazi,2021,25.0,FW,Premier League,13000000.0,17.38731396745506,35580700.902588494,22580700.902588494
Jakub Kiwior,2024,24.0,DF,Premier League,30000000.0,17.75976446880898,51637796.335871756,21637796.335871756
Sadio ManÃ©,2022,29.0,FW,Premier League,70000000.0,18.332017819819246,91515398.79175074,21515398.791750744
Odsonne Ãdouard,2022,23.0,FW,Premier League,17000000.0,17.462372267497173,38354109.63923671,21354109.63923671
Manor Solomon,2024,24.0,FW,Premier League,11000000.0,17.28954807703992,32266756.44780991,21266756.44780991
Marc Bernal,2025,17.0,MF,La Liga,5000000.0,17.079111307610873,26143503.078357294,21143503.078357294
Karim Benzema,2021,32.0,FW,La Liga,25000000.0,17.64507606389666,46042527.681943126,21042527.681943126
Luka Romero,2022,16.0,FW,Serie A,1000000.0,16.907990539082817,22031647.352967907,21031647.352967907
Denis Zakaria,2025,27.0,MF,Ligue 1,29000000.0,17.7269083663631,49968748.91828109,20968748.918281093
NicolÃ¡s Otamendi,2020,31.0,DF,Premier League,14500000.0,17.383364205434514,35440442.77300867,20940442.773008667
Virgil van Dijk,2024,32.0,DF,Premier League,30000000.0,17.743671400446345,50813436.76218426,20813436.762184262
Jean-Philippe Mateta,2024,26.0,FW,Premier League,20000000.0,17.522057205365723,40712966.25186451,20712966.251864508
Trevoh Chalobah,2022,22.0,DF,Premier League,20000000.0,17.516966918429738,40506252.12998183,20506252.12998183
Reiss Nelson,2023,22.0,FW,Premier League,12000000.0,17.294009590751806,32411036.643310703,20411036.643310703
Ivan PeriÅ¡iÄ,2022,32.0,DF,Serie A,10000000.0,17.228114988900945,30344169.73251573,20344169.73251573
Victor LindelÃ¶f,2020,25.0,DF,Premier League,28000000.0,17.692520846111982,48279655.82303893,20279655.82303893
Stefan Bajcetic,2023,17.0,MF,Premier League,13000000.0,17.305302626174782,32779130.174166564,19779130.174166564
Alfie Gilchrist,2024,20.0,DF,Premier League,5000000.0,17.017643319560865,24584907.070285004,19584907.070285004
Diogo Jota,2022,24.0,FW,Premier League,60000000.0,18.188199277197945,79256442.8002031,19256442.8002031
Bryan Mbeumo,2023,22.0,FW,Premier League,35000000.0,17.80858167276418,54221152.3112132,19221152.311213203
Mohamed Salah,2022,29.0,FW,Premier League,90000000.0,18.508732272944012,109204438.25247847,19204438.252478465
Leandro Paredes,2025,30.0,MF,Serie A,5000000.0,16.99389113814183,24007842.277235616,19007842.277235616
Ederson,2023,28.0,GK,Premier League,40000000.0,17.890789940799248,58866923.699447975,18866923.699447975
Daniel James,2021,22.0,FW,Premier League,18000000.0,17.416718845684137,36642481.3676532,18642481.3676532
Ellis Simms,2023,21.0,FW,Premier League,4000000.0,16.934138708281107,22615332.51461684,18615332.51461684
Divock Origi,2020,24.0,FW,Premier League,16000000.0,17.356674570193622,34507061.46540215,18507061.46540215
Jamie Vardy,2021,33.0,FW,Premier League,7000000.0,17.054235429870822,25501182.730899297,18501182.730899297
Kieran Trippier,2023,31.0,DF,Premier League,11000000.0,17.195995826764744,29385026.290915795,18385026.290915795
Dean Huijsen,2025,19.0,DF,Premier League,15000000.0,17.322050640611625,33332738.516201653,18332738.516201653
Conor Bradley,2024,20.0,DF,Premier League,15000000.0,17.320607489619334,33284669.0341962,18284669.0341962
Kyle Walker,2023,32.0,DF,Premier League,13000000.0,17.258188232611932,31270577.599726133,18270577.599726133
Anthony Lopes,2021,29.0,GK,Ligue 1,14000000.0,17.286915478543158,32181922.74619057,18181922.74619057
Axel Witsel,2024,35.0,DF,La Liga,3500000.0,16.89165817984503,21674741.052001625,18174741.052001625
Luuk de Jong,2022,30.0,FW,La Liga,4000000.0,16.911030523524914,22098725.127231475,18098725.127231475
Wataru Endo,2024,31.0,MF,Premier League,13000000.0,17.244542423736466,30846763.480412535,17846763.480412535
Mark Flekken,2025,31.0,GK,Premier League,10000000.0,17.14070696039866,27804457.969869796,17804457.969869796
Carlos Dominguez,2023,21.0,DF,La Liga,800000.0,16.730339126704607,18445648.970674954,17645648.970674954
William Osula,2025,20.0,FW,Premier League,7000000.0,17.00627007967693,24306881.038549677,17306881.038549677
Luke Harris,2024,19.0,MF,Premier League,1000000.0,16.72063650618431,18267543.272012133,17267543.272012133
Thiago Silva,2024,39.0,DF,Premier League,1000000.0,16.71849760955785,18228512.639319368,17228512.639319368
Henrikh Mkhitaryan,2024,35.0,MF,Serie A,6000000.0,16.959712474111075,23201150.61799073,17201150.61799073
Edinson Cavani,2021,33.0,FW,Premier League,6000000.0,16.959556387497596,23197529.51141633,17197529.51141633
Thiago Silva,2021,35.0,DF,Premier League,3000000.0,16.81763964254657,20128345.28638431,17128345.28638431
Ivan PeriÅ¡iÄ,2024,35.0,FW,Premier League,2000000.0,16.762032287186415,19039612.489236988,17039612.489236988
Angelo Ogbonna,2022,33.0,DF,Premier League,1200000.0,16.708573620940058,18048507.738060158,16848507.738060158
Divin Mubama,2023,17.0,FW,Premier League,250000.0,16.648867514177123,17002440.58197899,16752440.581978992
Tim Iroegbunam,2022,18.0,MF,Premier League,2500000.0,16.77029154859353,19197516.823095787,16697516.823095787
Paulo Gazzaniga,2024,32.0,GK,La Liga,4000000.0,16.834768247819575,20476085.434701458,16476085.434701458
Nicolas Jackson,2024,22.0,FW,Premier League,35000000.0,17.75602109659102,51444858.18488586,16444858.18488586
Yehor Yarmoliuk,2025,20.0,MF,Premier League,12000000.0,17.161021619730636,28375072.37684595,16375072.376845948
Albert Sambi Lokonga,2022,21.0,MF,Premier League,14000000.0,17.22057380217405,30116199.338981137,16116199.338981137
Callum Wilson,2024,32.0,FW,Premier League,13000000.0,17.186568024725275,29109291.897679143,16109291.897679143
David Luiz,2021,33.0,DF,Premier League,4000000.0,16.814289268828755,20061020.648328878,16061020.648328878
Ä°lkay GÃ¼ndoÄan,2021,29.0,MF,Premier League,40000000.0,17.841803925828884,56052757.75620819,16052757.756208189
Toby Collyer,2025,20.0,MF,Premier League,2500000.0,16.73409867107745,18515126.73075242,16015126.73075242
Olivier Giroud,2021,33.0,FW,Premier League,4000000.0,16.808005470296532,19935356.467636317,15935356.467636317
Yacine Adli,2025,24.0,MF,Serie A,13500000.0,17.19762521823428,29432945.032308217,15932945.032308217
Victor LindelÃ¶f,2021,26.0,DF,Premier League,24000000.0,17.50216820735806,39911225.46644054,15911225.466440544
CÃ©dric Soares,2022,29.0,DF,Premier League,6000000.0,16.900606424330192,21869562.2971414,15869562.2971414
Samuel Mbangula,2025,20.0,FW,Serie A,8000000.0,16.987612890039554,23857587.243473224,15857587.243473224
Caio Henrique Oliveira Silva,2021,23.0,DF,Ligue 1,800000.0,16.628266806507,16655761.431671659,15855761.431671659
Eric Maxim Choupo-Moting,2023,33.0,FW,Bundesliga,5000000.0,16.852999287480728,20852809.378902726,15852809.378902726
Karim Benzema,2022,33.0,FW,La Liga,30000000.0,17.640694087635136,45841211.81704293,15841211.817042932
Nampalys Mendy,2020,27.0,MF,Premier League,5500000.0,16.871068690183705,21233032.060226604,15733032.060226604
Nampalys Mendy,2022,29.0,MF,Premier League,4000000.0,16.79558051537166,19689193.00154957,15689193.001549572
Eden Hazard,2023,31.0,FW,La Liga,5000000.0,16.844999210850734,20686650.82469894,15686650.82469894
Mykhailo Mudryk,2025,23.0,FW,Premier League,30000000.0,17.636604345077753,45654115.90593835,15654115.90593835
Hugo Lloris,2022,34.0,GK,Premier League,7000000.0,16.929650470457347,22514056.963728815,15514056.963728815
David Silva,2020,33.0,MF,Premier League,12000000.0,17.127570109058354,27441583.65736183,15441583.657361832
John Stones,2022,27.0,DF,Premier League,28000000.0,17.585910776798116,43397428.82947916,15397428.829479158
ClÃ©ment Lenglet,2025,29.0,DF,La Liga,6250000.0,16.888242273604256,21600828.476443265,15350828.476443265
Brandon Williams,2020,18.0,DF,Premier League,11000000.0,17.08426816149719,26278669.526235126,15278669.526235126
GonÃ§alo Ramos,2024,22.0,FW,Ligue 1,50000000.0,17.992993958054655,65201559.33015699,15201559.33015699
Mathys Tel,2023,17.0,FW,Bundesliga,20000000.0,17.372878125304613,35070753.12492002,15070753.124920018
Curtis Jones,2022,20.0,MF,Premier League,28000000.0,17.57749242671047,43033627.52415134,15033627.52415134
Carlos VinÃ­cius,2024,29.0,FW,Premier League,4000000.0,16.757359193142644,18950846.15310154,14950846.153101541
Hianga Mananga Mbock,2020,19.0,MF,Ligue 1,725000.0,16.55426895802849,15467767.3888389,14742767.3888389
Jonny Evans,2020,31.0,DF,Premier League,12000000.0,17.100602549586387,26711440.430694204,14711440.430694204
Olivier Giroud,2022,34.0,FW,Serie A,3500000.0,16.717419706435525,18208874.653376777,14708874.653376777
Ä°lkay GÃ¼ndoÄan,2024,33.0,MF,La Liga,15000000.0,17.204757915753795,29643631.822808906,14643631.822808906
Nuno Tavares,2022,21.0,DF,Premier League,15000000.0,17.203421980316715,29604056.284305245,14604056.284305245
Antoine Semenyo,2024,24.0,FW,Premier League,10000000.0,17.01832031035497,24601556.46182901,14601556.46182901
Sergio AgÃ¼ero,2020,31.0,FW,Premier League,52000000.0,18.01252395290177,66487461.42586722,14487461.425867222
Dani Alves,2022,38.0,DF,La Liga,1000000.0,16.554608238519076,15473016.19124391,14473016.19124391
Caio Henrique Oliveira Silva,2025,27.0,DF,Ligue 1,1000000.0,16.546505140648563,15348143.42995756,14348143.42995756
Fabian SchÃ¤r,2023,30.0,DF,Premier League,10000000.0,17.0074733203836,24336145.671138514,14336145.671138514
Jarell Quansah,2024,21.0,DF,Premier League,22000000.0,17.404569527958888,36199993.61209695,14199993.61209695
Marco Pellegrino,2024,,DF,Serie A,3500000.0,16.68879973482369,17695123.981323265,14195123.981323265
Sergio Ramos,2020,33.0,DF,La Liga,14500000.0,17.170964093843306,28658597.94655491,14158597.94655491
Manuel Neuer,2020,33.0,GK,Bundesliga,18000000.0,17.27809025717059,31899159.703396216,13899159.703396216
Wissam Ben Yedder,2024,33.0,FW,Ligue 1,8000000.0,16.89947864925063,21844912.251120403,13844912.251120403
