player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Mohamed Salah,2025,32.0,FW,Premier League,55000000.0,18.937537686340324,167674922.94100225,112674922.94100225
Aymeric Laporte,2022,27.0,DF,Premier League,45000000.0,18.698028374303057,131962502.30209365,86962502.30209365
JoÃ«l Matip,2022,29.0,DF,Premier League,18000000.0,18.300971814097412,88717862.03517242,70717862.03517242
Mohamed Salah,2022,29.0,FW,Premier League,90000000.0,18.776118270385865,142680477.25430238,52680477.25430238
Virgil van Dijk,2022,30.0,DF,Premier League,55000000.0,18.451199931806993,103098966.2338946,48098966.2338946
Jordan Henderson,2022,31.0,MF,Premier League,15000000.0,17.952435892266767,62610019.31978287,47610019.31978287
William Saliba,2024,23.0,DF,Premier League,80000000.0,18.659316316412173,126951579.57507034,46951579.57507034
John Stones,2021,26.0,DF,Premier League,30000000.0,18.114297559735125,73610449.17807095,43610449.17807095
Sadio ManÃ©,2022,29.0,FW,Premier League,70000000.0,18.54729364076623,113497756.92958184,43497756.929581836
Gabriel Jesus,2022,24.0,FW,Premier League,50000000.0,18.353037389522033,93459372.28602213,43459372.28602213
Ä°lkay GÃ¼ndoÄan,2023,31.0,MF,Premier League,20000000.0,17.953250748333012,62661058.26652177,42661058.26652177
Riyad Mahrez,2022,30.0,FW,Premier League,35000000.0,18.162698286951073,77260877.5862973,42260877.5862973
JoÃ£o Cancelo,2022,27.0,DF,Premier League,65000000.0,18.48798640152651,106962235.63918866,41962235.63918866
Raheem Sterling,2022,26.0,FW,Premier League,70000000.0,18.524135619458804,110899573.93644188,40899573.93644188
Robert Lewandowski,2025,35.0,FW,La Liga,15000000.0,17.795810399078686,53533082.2406307,38533082.2406307
Robert Lewandowski,2020,30.0,FW,Bundesliga,60000000.0,18.397205563673992,97679820.82278454,37679820.82278454
Trevoh Chalobah,2022,22.0,DF,Premier League,20000000.0,17.81131729303761,54369683.86779941,34369683.86779941
RÃºben Dias,2022,24.0,DF,Premier League,75000000.0,18.509935205953738,109335882.92097864,34335882.920978636
Robert Lewandowski,2022,32.0,FW,Bundesliga,45000000.0,18.18767545040167,79214937.02303128,34214937.02303128
Oleksandr Zinchenko,2022,24.0,DF,Premier League,25000000.0,17.893151412907933,59006100.56671768,34006100.56671768
Ä°lkay GÃ¼ndoÄan,2022,30.0,MF,Premier League,25000000.0,17.87864250459265,58156167.161759846,33156167.161759846
Gabriel Jesus,2020,22.0,FW,Premier League,56000000.0,18.30551032330726,89121423.96568872,33121423.96568872
Kyle Walker,2024,34.0,DF,Premier League,13000000.0,17.633855293297568,45528782.72721588,32528782.72721588
Harry Kane,2025,31.0,FW,Bundesliga,90000000.0,18.622799179243767,122399295.34905769,32399295.34905769
David Silva,2020,33.0,MF,Premier League,12000000.0,17.525985007893897,40873193.211500935,28873193.211500935
Kyle Walker,2020,29.0,DF,Premier League,40000000.0,18.04632010845725,68772883.76678145,28772883.76678145
Karim Benzema,2021,32.0,FW,La Liga,25000000.0,17.791938390396005,53326202.456142746,28326202.456142746
Virgil van Dijk,2025,33.0,DF,Premier League,28000000.0,17.83470161093193,55656063.80289626,27656063.80289626
Callum Wilson,2023,30.0,FW,Premier League,16000000.0,17.583732762658624,43303011.47218686,27303011.472186863
Chris Wood,2025,32.0,FW,Premier League,7000000.0,17.315441874182163,33113176.542314123,26113176.542314123
Jamie Vardy,2021,33.0,FW,Premier League,7000000.0,17.284974820068573,32119529.1850227,25119529.1850227
Sidnei Tavares,2021,18.0,MF,Premier League,300000.0,17.018630564877768,24609190.39046863,24309190.39046863
Thiago Silva,2022,36.0,DF,Premier League,2500000.0,17.099313870350883,26677040.121015176,24177040.121015176
Jamie Vardy,2020,32.0,FW,Premier League,16000000.0,17.504750815422398,40014433.737661704,24014433.737661704
Karim Benzema,2022,33.0,FW,La Liga,30000000.0,17.80312781512104,53926242.78808126,23926242.78808126
Granit Xhaka,2023,29.0,MF,Premier League,20000000.0,17.591566634651052,43643573.948524304,23643573.948524304
Anthony Elanga,2021,18.0,FW,Premier League,800000.0,16.963672062006808,23293199.73512466,22493199.73512466
Neco Williams,2022,20.0,DF,Premier League,15000000.0,17.436133677116434,37360839.8258328,22360839.8258328
Kieran Trippier,2023,31.0,DF,Premier League,11000000.0,17.315847416064344,33126608.045994174,22126608.045994174
Trent Alexander-Arnold,2022,22.0,DF,Premier League,80000000.0,18.436964354982972,101641690.15799214,21641690.15799214
Danny Welbeck,2025,33.0,FW,Premier League,5000000.0,17.085007310353202,26298100.555819117,21298100.555819117
Edinson Cavani,2021,33.0,FW,Premier League,6000000.0,17.111704652031143,27009645.88065424,21009645.88065424
Kyle Walker,2023,32.0,DF,Premier League,13000000.0,17.340505547751654,33953602.50104863,20953602.501048632
Daniel Parejo,2025,35.0,MF,La Liga,2000000.0,16.935533240008954,22646892.315195855,20646892.315195855
Jacob Murphy,2025,29.0,FW,Premier League,14000000.0,17.344468791967742,34088435.93616633,20088435.93616633
Henrikh Mkhitaryan,2024,35.0,MF,Serie A,6000000.0,17.05963137006516,25639157.510250267,19639157.510250267
Robert Lewandowski,2024,35.0,FW,La Liga,15000000.0,17.342784260677824,34031061.23582937,19031061.23582937
Jack Grealish,2022,25.0,FW,Premier League,70000000.0,18.302751581435597,88875899.7836111,18875899.783611104
Jordan Henderson,2020,29.0,MF,Premier League,28000000.0,17.65903101135594,46689552.85157938,18689552.851579383
Joe Gomez,2020,22.0,DF,Premier League,40000000.0,17.885788737129324,58573253.18473986,18573253.184739858
Eric GarcÃ­a,2020,18.0,DF,Premier League,16000000.0,17.35574685852777,34475063.705641106,18475063.705641106
Jarell Quansah,2024,21.0,DF,Premier League,22000000.0,17.509314697043038,40197472.246254645,18197472.246254645
Joselu,2024,34.0,FW,La Liga,5000000.0,16.95158493764347,23013346.63778449,18013346.63778449
Jack Grealish,2023,26.0,FW,Premier League,75000000.0,18.346033824037875,92807110.19136675,17807110.191366747
Rhys Williams,2021,19.0,DF,Premier League,5000000.0,16.942388056075647,22802665.893002015,17802665.893002015
NicolÃ¡s Otamendi,2020,31.0,DF,Premier League,14500000.0,17.289554257374665,32266955.867788263,17766955.867788263
Edin DÅ¾eko,2022,35.0,FW,Serie A,4000000.0,16.8946857303833,21740461.865309805,17740461.865309805
