player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Mohamed Salah,2025,32.0,FW,Premier League,55000000.0,19.027543685675163,183466689.47327796,128466689.47327796
Aymeric Laporte,2022,27.0,DF,Premier League,45000000.0,18.4978970970035,108027576.2070655,63027576.20706549
Riyad Mahrez,2022,30.0,FW,Premier League,35000000.0,18.30157834092048,88771688.12062058,53771688.12062058
JoÃ«l Matip,2022,29.0,DF,Premier League,18000000.0,18.06220467284609,69874033.57220231,51874033.57220231
Gabriel Jesus,2022,24.0,FW,Premier League,50000000.0,18.420667954380587,99998720.05100076,49998720.05100076
Erling Haaland,2023,22.0,FW,Premier League,180000000.0,19.234250156319874,225594602.4264173,45594602.42641729
Jordan Henderson,2022,31.0,MF,Premier League,15000000.0,17.82131774601583,54916133.16084133,39916133.16084133
John Stones,2021,26.0,DF,Premier League,30000000.0,18.028089869359334,67530496.54992807,37530496.54992807
William Saliba,2024,23.0,DF,Premier League,80000000.0,18.581831825347138,117486244.52644904,37486244.52644904
Ä°lkay GÃ¼ndoÄan,2023,31.0,MF,Premier League,20000000.0,17.85473341877677,56782196.983149834,36782196.983149834
Trevoh Chalobah,2022,22.0,DF,Premier League,20000000.0,17.800518282722187,53785703.95783499,33785703.95783499
Harry Kane,2025,31.0,FW,Bundesliga,90000000.0,18.615740809258398,121538397.6708427,31538397.670842707
Oleksandr Zinchenko,2022,24.0,DF,Premier League,25000000.0,17.847300278360347,56361691.705903545,31361691.705903545
Gabriel Jesus,2020,22.0,FW,Premier League,56000000.0,18.283338311859747,87167167.66605397,31167167.666053966
Sidnei Tavares,2021,18.0,MF,Premier League,300000.0,17.20492684495212,29648639.920932166,29348639.920932166
RÃºben Dias,2022,24.0,DF,Premier League,75000000.0,18.458140239021702,103816993.5228529,28816993.522852898
Ä°lkay GÃ¼ndoÄan,2022,30.0,MF,Premier League,25000000.0,17.789533165612923,53198095.07528557,28198095.07528557
Chris Wood,2025,32.0,FW,Premier League,7000000.0,17.319160614358044,33236545.091609918,26236545.091609918
Robert Lewandowski,2020,30.0,FW,Bundesliga,60000000.0,18.272600673122653,86236205.21316972,26236205.213169724
Robert Lewandowski,2025,35.0,FW,La Liga,15000000.0,17.532441914785927,41137961.49309072,26137961.49309072
Neco Williams,2022,20.0,DF,Premier League,15000000.0,17.52159861540377,40694299.974172466,25694299.974172466
Anthony Elanga,2021,18.0,FW,Premier League,800000.0,17.06788816190698,25851731.08527348,25051731.08527348
Raheem Sterling,2022,26.0,FW,Premier League,70000000.0,18.362335497539043,94332420.19097604,24332420.19097604
Bukayo Saka,2024,22.0,FW,Premier League,140000000.0,18.912687219567115,163559470.06521788,23559470.065217882
JoÃ£o Cancelo,2022,27.0,DF,Premier League,65000000.0,18.295686302741135,88250179.82121015,23250179.821210146
Callum Wilson,2023,30.0,FW,Premier League,16000000.0,17.477479105166417,38937917.605858594,22937917.605858594
Danny Welbeck,2025,33.0,FW,Premier League,5000000.0,17.13071358730778,27527981.40543839,22527981.40543839
Granit Xhaka,2023,29.0,MF,Premier League,20000000.0,17.560542470053367,42310356.40918918,22310356.40918918
Ryan Gravenberch,2025,22.0,MF,Premier League,47500000.0,18.042321254420816,68498420.17459793,20998420.174597934
Anthony Martial,2023,26.0,FW,Premier League,15000000.0,17.3862358706152,35542362.13047518,20542362.13047518
Daniel Parejo,2025,35.0,MF,La Liga,2000000.0,16.927199262604148,22458937.909767922,20458937.909767922
Hianga Mananga Mbock,2020,19.0,MF,Ligue 1,725000.0,16.866677537157447,21139998.97359785,20414998.97359785
David Silva,2020,33.0,MF,Premier League,12000000.0,17.287410060547376,32197843.283217605,20197843.283217605
Jamie Vardy,2021,33.0,FW,Premier League,7000000.0,17.111466213260638,27003206.50138957,20003206.50138957
Curtis Jones,2020,18.0,MF,Premier League,5000000.0,17.031954178164376,24939267.76862833,19939267.76862833
Eric GarcÃ­a,2020,18.0,DF,Premier League,16000000.0,17.38270111808971,35416950.4528394,19416950.452839397
Karim Benzema,2021,32.0,FW,La Liga,25000000.0,17.605183813793175,44241941.11734754,19241941.11734754
Neco Williams,2020,18.0,DF,Premier League,4000000.0,16.948532473379476,22943206.32139114,18943206.32139114
Mohamed Salah,2022,29.0,FW,Premier League,90000000.0,18.506136107912873,108921293.2107089,18921293.2107089
Kyle Walker,2024,34.0,DF,Premier League,13000000.0,17.265544708358938,31501467.07794621,18501467.07794621
Brandon Williams,2020,18.0,DF,Premier League,11000000.0,17.19484189287248,29351137.468490478,18351137.468490478
Rhys Williams,2021,19.0,DF,Premier League,5000000.0,16.942965678481983,22815841.029084213,17815841.029084213
Kieran Trippier,2023,31.0,DF,Premier League,11000000.0,17.170830633721902,28654773.421676688,17654773.421676688
Jarell Quansah,2024,21.0,DF,Premier League,22000000.0,17.495395435009378,39641829.12524858,17641829.12524858
Jamie Vardy,2020,32.0,FW,Premier League,16000000.0,17.320562623755414,33283175.72221944,17283175.72221944
Robert Lewandowski,2022,32.0,FW,Bundesliga,45000000.0,17.943677118927607,62064026.945298,17064026.945298
Divock Origi,2022,26.0,FW,Premier League,12000000.0,17.183158491577625,29010211.803056426,17010211.803056426
Virgil van Dijk,2022,30.0,DF,Premier League,55000000.0,18.091331625179663,71939180.97116365,16939180.971163645
Jack Grealish,2023,26.0,FW,Premier League,75000000.0,18.33632893563194,91910783.94210862,16910783.942108616
Jacob Murphy,2025,29.0,FW,Premier League,14000000.0,17.23573395277253,30576243.832501166,16576243.832501166
Edinson Cavani,2021,33.0,FW,Premier League,6000000.0,16.932148943571494,22570378.061317522,16570378.061317522
Florin Andone,2020,26.0,FW,Premier League,2800000.0,16.775917964699893,19305834.48093832,16505834.48093832
AdriÃ¡n,2020,32.0,GK,Premier League,4000000.0,16.83445190458151,20469608.987659924,16469608.987659924
Jordan Henderson,2020,29.0,MF,Premier League,28000000.0,17.60525951996987,44245290.63242268,16245290.632422678
Ellis Simms,2023,21.0,FW,Premier League,4000000.0,16.81712903265228,20118070.177124225,16118070.177124225
William Osula,2025,20.0,FW,Premier League,7000000.0,16.937238578041157,22685545.873000976,15685545.873000976
Nampalys Mendy,2023,30.0,MF,Premier League,2500000.0,16.681901285137208,17573475.128613103,15073475.128613103
Mitchel Bakker,2021,20.0,DF,Ligue 1,10000000.0,17.033185865493316,24970004.07483739,14970004.07483739
Ä°lkay GÃ¼ndoÄan,2021,29.0,MF,Premier League,40000000.0,17.819685914189048,54826592.34296174,14826592.342961743
Danilo Cataldi,2020,24.0,MF,Serie A,3200000.0,16.70626842599121,18006950.324255913,14806950.324255913
Shandon Baptiste,2024,26.0,MF,Premier League,2500000.0,16.665554044128807,17288532.636239413,14788532.636239413
Jeff Hendrick,2022,29.0,MF,Premier League,3000000.0,16.692924849817874,17768269.169139862,14768269.169139862
Conor Bradley,2024,20.0,DF,Premier League,15000000.0,17.20797733453871,29739220.879211403,14739220.879211403
Kyle Walker,2023,32.0,DF,Premier League,13000000.0,17.136311206754403,27682504.65276715,14682504.652767152
Kyle Walker,2020,29.0,DF,Premier League,40000000.0,17.815053521615567,54573201.395429835,14573201.395429835
Trent Alexander-Arnold,2022,22.0,DF,Premier League,80000000.0,18.364025542294222,94491980.99912786,14491980.999127865
Carlos Dominguez,2023,21.0,DF,La Liga,800000.0,16.536223707675838,15191150.948525332,14391150.948525332
Myles Lewis-Skelly,2025,17.0,DF,Premier League,7500000.0,16.900196311831117,21860595.154778186,14360595.154778186
Henrikh Mkhitaryan,2024,35.0,MF,Serie A,6000000.0,16.826690334278325,20311347.643433854,14311347.643433854
Thiago Silva,2022,36.0,DF,Premier League,2500000.0,16.636897503821082,16800134.39926521,14300134.399265211
Sadio ManÃ©,2022,29.0,FW,Premier League,70000000.0,18.249380297529775,84256837.87811105,14256837.87811105
Virgil van Dijk,2025,33.0,DF,Premier League,28000000.0,17.557662882675217,42188695.28900977,14188695.289009772
Nampalys Mendy,2020,27.0,MF,Premier League,5500000.0,16.776177561503197,19310846.864685524,13810846.864685524
Olivier Giroud,2022,34.0,FW,Serie A,3500000.0,16.66120017864396,17213424.310776863,13713424.310776863
MoisÃ©s Caicedo,2022,19.0,MF,Premier League,6000000.0,16.793245893428356,19643279.79303361,13643279.793033611
Michael Obafemi,2020,19.0,FW,Premier League,4500000.0,16.698542047344887,17868357.898300137,13368357.898300137
Dan Gosling,2022,31.0,MF,Premier League,1000000.0,16.48024108387281,14364077.277473332,13364077.277473332
John Stones,2022,27.0,DF,Premier League,28000000.0,17.536958456185722,41324183.025861874,13324183.025861874
Eric Maxim Choupo-Moting,2023,33.0,FW,Bundesliga,5000000.0,16.708222658747193,18042174.505283143,13042174.505283143
Moreto CassamÃ£,2020,21.0,MF,Ligue 1,1300000.0,16.473687441255695,14270248.039397271,12970248.039397271
Caio Henrique Oliveira Silva,2021,23.0,DF,Ligue 1,800000.0,16.431711128545224,13683633.689499443,12883633.689499443
Divock Origi,2020,24.0,FW,Premier League,16000000.0,17.178559111589745,28877089.186271884,12877089.186271884
