player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Neco Williams,2022,20.0,DF,Premier League,15000000.0,18.173641649550415,78111014.5900053,63111014.59000529
Jack Lahne,2020,17.0,FW,Ligue 1,900000.0,17.834860029080204,55664881.43204036,54764881.43204036
Kasim Nuhu,2022,26.0,DF,Bundesliga,1000000.0,17.575451069959687,42945870.13859332,41945870.13859332
Anthony Elanga,2021,18.0,FW,Premier League,800000.0,17.226049064130684,30281545.66914181,29481545.66914181
Sidnei Tavares,2021,18.0,MF,Premier League,300000.0,17.104196548570975,26807614.04448667,26507614.04448667
Jeff Hendrick,2022,29.0,MF,Premier League,3000000.0,17.139302794295965,27765443.289037075,24765443.289037075
Shandon Baptiste,2024,26.0,MF,Premier League,2500000.0,17.078047389055033,26115703.310220513,23615703.310220513
Divock Origi,2022,26.0,FW,Premier League,12000000.0,17.372112167680168,35043900.69862617,23043900.698626168
Danny Welbeck,2025,33.0,FW,Premier League,5000000.0,17.14596265440741,27950974.383753456,22950974.383753456
William Osula,2025,20.0,FW,Premier League,7000000.0,17.196391625485646,29396659.149114545,22396659.149114545
Ellis Simms,2023,21.0,FW,Premier League,4000000.0,17.049220124281234,25373606.685432572,21373606.685432572
Chris Wood,2025,32.0,FW,Premier League,7000000.0,17.139166123178885,27761648.814053353,20761648.814053353
Mitchel Bakker,2020,19.0,DF,Ligue 1,900000.0,16.88837836767792,21603768.421371236,20703768.421371236
Hianga Mananga Mbock,2020,19.0,MF,Ligue 1,725000.0,16.871829088598332,21249183.764990423,20524183.764990423
Jon Pacheco,2021,19.0,DF,La Liga,200000.0,16.833597941014176,20452136.14813896,20252136.14813896
Dan Gosling,2022,31.0,MF,Premier League,1000000.0,16.865605381247025,21117345.74374702,20117345.74374702
Reiss Nelson,2023,22.0,FW,Premier League,12000000.0,17.281899108195454,32020890.53446809,20020890.53446809
Myron Boadu,2025,23.0,FW,Bundesliga,5000000.0,17.025710255065896,24784034.030402217,19784034.030402217
Neco Williams,2020,18.0,DF,Premier League,4000000.0,16.97886440475474,23649779.80932797,19649779.80932797
Donny van de Beek,2024,27.0,DF,Premier League,5000000.0,16.9995628260275,24144394.144848485,19144394.144848485
Othmane Maamma,2024,18.0,FW,Ligue 1,300000.0,16.78299502631178,19442947.675093867,19142947.675093867
Nampalys Mendy,2023,30.0,MF,Premier League,2500000.0,16.855142602904973,20897551.460095037,18397551.460095037
Mohamed Sankoh,2022,17.0,FW,Bundesliga,1000000.0,16.77997108197681,19384242.086543493,18384242.086543493
Lucas Ribeiro,2020,20.0,MF,Bundesliga,2300000.0,16.782571303580326,19434711.000929996,17134711.000929996
Moustapha CissÃ©,2022,17.0,FW,Serie A,1000000.0,16.707080790135,18021584.46917316,17021584.46917316
Pablo Busto,2024,18.0,DF,La Liga,500000.0,16.66435581740949,17267829.45932557,16767829.45932557
Florian Flick,2021,20.0,MF,Bundesliga,700000.0,16.664225090738984,17265572.24088531,16565572.24088531
Curtis Jones,2020,18.0,MF,Premier League,5000000.0,16.883216676782197,21492543.74208985,16492543.742089849
Borja Mayoral,2025,27.0,FW,La Liga,9000000.0,17.046662519955454,25308793.95464615,16308793.954646152
MiloÅ¡ PantoviÄ,2024,27.0,MF,Bundesliga,800000.0,16.6465367559132,16962858.147217464,16162858.147217464
Florin Andone,2020,26.0,FW,Premier League,2800000.0,16.756612128659327,18936693.935232557,16136693.935232557
Ante Palaversa,2023,22.0,MF,Ligue 1,700000.0,16.616508541650425,16461065.45222328,15761065.45222328
Andrew Omobamidele,2022,19.0,DF,Premier League,1200000.0,16.627431470830224,16641854.08854722,15441854.08854722
Adam Ounas,2023,25.0,FW,Serie A,7000000.0,16.925184451107807,22413732.93649915,15413732.936499149
Riyad Mahrez,2022,30.0,FW,Premier League,35000000.0,17.735525581918246,50401200.997716196,15401200.997716196
Andrea Conti,2021,26.0,DF,Serie A,4500000.0,16.80520652360602,19879636.47984217,15379636.479842171
Anwar El Ghazi,2021,25.0,FW,Premier League,13000000.0,17.158704192352563,28309391.33985909,15309391.33985909
Jan Paul van Hecke,2023,22.0,DF,Premier League,5000000.0,16.824039276940184,20257572.40567929,15257572.40567929
Jamie Vardy,2025,37.0,FW,Premier League,1000000.0,16.588287572873305,16003011.966358839,15003011.966358839
Trevoh Chalobah,2022,22.0,DF,Premier League,20000000.0,17.370656245342175,34992916.62276614,14992916.622766137
Michael Obafemi,2020,19.0,FW,Premier League,4500000.0,16.780194176453083,19388567.086526684,14888567.086526684
Lewis Hall,2023,17.0,DF,Premier League,10000000.0,17.001746120689205,24197166.06123735,14197166.06123735
Anthony Martial,2023,26.0,FW,Premier League,15000000.0,17.187563682265715,29138289.217954367,14138289.217954367
Moreto CassamÃ£,2020,21.0,MF,Ligue 1,1300000.0,16.54949649925594,15394123.971763128,14094123.971763128
Teemu Pukki,2022,31.0,FW,Premier League,4000000.0,16.691698368130282,17746490.06972064,13746490.06972064
Daniel Parejo,2025,35.0,MF,La Liga,2000000.0,16.562528488908594,15596052.959507965,13596052.959507965
Luke Harris,2024,19.0,MF,Premier League,1000000.0,16.492163626586034,14536358.589153066,13536358.589153066
TomÃ¡s Pina Isla,2020,31.0,MF,La Liga,2000000.0,16.55487075220102,15477078.603153568,13477078.603153568
El Bilal TourÃ©,2020,17.0,FW,Ligue 1,3500000.0,16.640655745087813,16863392.155908767,13363392.155908767
JaÃ¯ro Riedewald,2021,23.0,MF,Premier League,8000000.0,16.875226924709395,21321507.815367088,13321507.815367088
Jimmy Dunne,2021,22.0,DF,Premier League,600000.0,16.4484582328766,13914724.5979938,13314724.5979938
Joachim Kayi Sanda,2025,17.0,DF,Premier League,800000.0,16.456864164694686,14032183.818100527,13232183.818100527
TetÃª,2023,22.0,FW,Premier League,25000000.0,17.45418379523281,38041330.4077541,13041330.4077541
Mark Noble,2020,32.0,MF,Premier League,4800000.0,16.691526149279188,17743434.05257709,12943434.05257709
