target_player,target_season,target_comp,candidate_player,candidate_season,candidate_squad,candidate_comp,archetype,similarity_score,pc1,pc2,pc3,table,target_archetype
Aaron Ramsdale,2020,Premier League,Manolo Reina,2020,Mallorca,La Liga,4,0.9387,4.11369306642527,-2.6263400612936536,-2.374740556305653,GK,4
Aaron Ramsdale,2020,Premier League,Rubén Blanco,2020,Celta Vigo,La Liga,4,0.9351,3.306202450300532,-2.111452150117902,-2.3315629627334147,GK,4
Aaron Ramsdale,2020,Premier League,Martin Dúbravka,2020,Newcastle Utd,Premier League,4,0.9225,3.753034268331021,-4.422913279655898,-3.7469690387007404,GK,4
Aaron Ramsdale,2020,Premier League,Jordi Masip,2020,Valladolid,La Liga,4,0.914,3.2718169931766425,-3.8717375321980008,-3.7303356154029075,GK,4
Aaron Ramsdale,2020,Premier League,Juan Soriano,2020,Leganés,La Liga,4,0.9026,2.857408267707868,-3.6528447766174246,-2.70871906964436,GK,4
Aaron Ramsdale,2020,Premier League,Vicente Guaita,2021,Crystal Palace,Premier League,4,0.8981,3.2568832839838677,-3.960492146345217,-2.4478811605438864,GK,4
Aaron Ramsdale,2020,Premier League,Alban Lafont,2021,Nantes,Ligue 1,4,0.8926,3.334266679117931,-2.612840914082504,-2.430583843329657,GK,4
Aaron Ramsdale,2020,Premier League,Jasper Cillessen,2020,Valencia,La Liga,4,0.888,3.7558372624208403,-1.2332832059879308,-2.1261861334459127,GK,4
Aaron Ramsdale,2020,Premier League,Jordi Masip,2021,Valladolid,La Liga,4,0.8839,3.56665669489243,-3.9805621921276817,-3.034809265253898,GK,4
Aaron Ramsdale,2020,Premier League,Sam Johnstone,2021,West Brom,Premier League,4,0.8826,4.557936348726514,-5.846252657590053,-3.285561548439773,GK,4
Aaron Ramsdale,2021,Premier League,Vicente Guaita,2021,Crystal Palace,Premier League,4,0.9562,3.2568832839838677,-3.960492146345217,-2.4478811605438864,GK,4
Aaron Ramsdale,2021,Premier League,Sam Johnstone,2021,West Brom,Premier League,4,0.9504,4.557936348726514,-5.846252657590053,-3.285561548439773,GK,4
Aaron Ramsdale,2021,Premier League,Martin Dúbravka,2020,Newcastle Utd,Premier League,4,0.9257,3.753034268331021,-4.422913279655898,-3.7469690387007404,GK,4
Aaron Ramsdale,2021,Premier League,Ben Foster,2022,Watford,Premier League,4,0.9226,4.1731986291027425,-4.982687155222504,-3.259616297994171,GK,4
Aaron Ramsdale,2021,Premier League,Marc-Aurèle Caillard,2022,Metz,Ligue 1,4,0.912,3.2105772312368828,-3.3928647084159422,-2.090107701075965,GK,4
Aaron Ramsdale,2021,Premier League,Diego López,2020,Espanyol,La Liga,4,0.9104,3.66046356580064,-3.5516801998695726,-2.404903941123223,GK,4
Aaron Ramsdale,2021,Premier League,Jordi Masip,2021,Valladolid,La Liga,4,0.908,3.56665669489243,-3.9805621921276817,-3.034809265253898,GK,4
Aaron Ramsdale,2021,Premier League,Karl Darlow,2021,Newcastle Utd,Premier League,4,0.9051,3.5067553097667883,-4.782237219835434,-3.2589476188516073,GK,4
Aaron Ramsdale,2021,Premier League,Vid Belec,2022,Salernitana,Serie A,4,0.8993,3.3793883985343456,-3.682390930839251,-1.5632380214805721,GK,4
Aaron Ramsdale,2021,Premier League,Jeremías Ledesma,2023,Cádiz,La Liga,4,0.8917,4.034086349363676,-4.5993367679725345,-3.3131130862271334,GK,4
Aaron Ramsdale,2022,Premier League,Jan Oblak,2023,Atlético Madrid,La Liga,2,0.9079,2.836066781816669,0.826177037388728,-1.16071639230222,GK,2
Aaron Ramsdale,2022,Premier League,David de Gea,2023,Manchester Utd,Premier League,2,0.9,2.993554011308973,1.3633345450473584,-0.34483326283475435,GK,2
Aaron Ramsdale,2022,Premier League,Aaron Ramsdale,2023,Arsenal,Premier League,2,0.8999,2.747750887200624,1.8820465529201513,-0.13311401809238532,GK,2
Aaron Ramsdale,2022,Premier League,Nick Pope,2023,Newcastle Utd,Premier League,2,0.8941,2.40814750974981,1.8211883267371434,-0.517870240224795,GK,2
Aaron Ramsdale,2022,Premier League,Mike Maignan,2021,Lille,Ligue 1,2,0.8896,2.768273554275936,2.414706770120752,-0.8026074571445179,GK,2
Aaron Ramsdale,2022,Premier League,Doğan Alemdar,2022,Rennes,Ligue 1,2,0.881,3.388031384656415,1.1296567266468713,-1.0096414008496595,GK,2
Aaron Ramsdale,2022,Premier League,Álex Remiro,2021,Real Sociedad,La Liga,2,0.8751,3.224505885794116,1.2927821666197374,-1.1075084164438636,GK,2
Aaron Ramsdale,2022,Premier League,Steve Mandanda,2023,Rennes,Ligue 1,2,0.8667,3.9404235387684707,2.616700762057679,-0.05107693088120868,GK,2
Aaron Ramsdale,2022,Premier League,Rui Silva,2022,Betis,La Liga,2,0.8599,3.567756367321678,1.2878883502408698,-0.628357871949504,GK,2
Aaron Ramsdale,2022,Premier League,Alfred Gomis,2022,Rennes,Ligue 1,2,0.8565,3.274553684951286,2.0370618551877406,-0.6228831795473297,GK,2
Aaron Ramsdale,2023,Premier League,Nick Pope,2023,Newcastle Utd,Premier League,2,0.9425,2.40814750974981,1.8211883267371434,-0.517870240224795,GK,2
Aaron Ramsdale,2023,Premier League,Aaron Ramsdale,2022,Arsenal,Premier League,2,0.8999,3.5336927876086577,1.079622899824976,-1.3889330697776359,GK,2
Aaron Ramsdale,2023,Premier League,David de Gea,2023,Manchester Utd,Premier League,2,0.8654,2.993554011308973,1.3633345450473584,-0.34483326283475435,GK,2
Aaron Ramsdale,2023,Premier League,Jan Oblak,2023,Atlético Madrid,La Liga,2,0.8492,2.836066781816669,0.826177037388728,-1.16071639230222,GK,2
Aaron Ramsdale,2023,Premier League,Mike Maignan,2021,Lille,Ligue 1,2,0.8468,2.768273554275936,2.414706770120752,-0.8026074571445179,GK,2
Aaron Ramsdale,2023,Premier League,David Raya,2024,Arsenal,Premier League,2,0.8442,3.1823693471741876,3.3711950491610914,1.0601791166176326,GK,2
Aaron Ramsdale,2023,Premier League,Lucas Chevalier,2023,Lille,Ligue 1,2,0.8365,2.923261599862869,2.9086021760116374,0.5362812264567083,GK,2
Aaron Ramsdale,2023,Premier League,Steve Mandanda,2023,Rennes,Ligue 1,2,0.8232,3.9404235387684707,2.616700762057679,-0.05107693088120868,GK,2
Aaron Ramsdale,2023,Premier League,Pau López,2023,Marseille,Ligue 1,2,0.8226,3.3790825756457394,3.0139085897267925,0.4217571546265617,GK,2
Aaron Ramsdale,2023,Premier League,Lukáš Hrádecký,2024,Leverkusen,Bundesliga,2,0.8221,2.3883778430090246,5.162869328582328,2.4185898616673285,GK,2
Aaron Ramsdale,2024,Premier League,Lucas Chevalier,2024,Lille,Ligue 1,2,0.8154,3.3165064018517256,2.0780242664055883,1.1833398138853113,GK,2
Aaron Ramsdale,2024,Premier League,Philipp Köhn,2024,Monaco,Ligue 1,2,0.8098,3.160089925391702,0.43647272248347946,0.7328395964150332,GK,2
Aaron Ramsdale,2024,Premier League,Marco Carnesecchi,2024,Atalanta,Serie A,2,0.8073,3.528399211390294,0.9049971508382626,0.09451254673996345,GK,2
Aaron Ramsdale,2024,Premier League,Christos Mandas,2024,Lazio,Serie A,2,0.8053,3.178014605605483,0.7583872889489953,0.1603295917703349,GK,2
Aaron Ramsdale,2024,Premier League,Jens Grahl,2024,Eint Frankfurt,Bundesliga,2,0.8006,5.191279885457632,0.6324801079959563,0.5601899747011885,GK,2
Aaron Ramsdale,2024,Premier League,Paulo Gazzaniga,2024,Girona,La Liga,2,0.7853,3.9626930142505614,2.6824838677626524,1.407478723755105,GK,2
Aaron Ramsdale,2024,Premier League,Vito Mannone,2024,Lille,Ligue 1,4,0.7844,4.5876843699200265,-1.4748972731174774,0.13504230536244677,GK,2
Aaron Ramsdale,2024,Premier League,Kauã Santos,2025,Eint Frankfurt,Bundesliga,2,0.7843,1.8147190688901276,1.3754657697665351,0.6812869564174662,GK,2
Aaron Ramsdale,2024,Premier League,Juan Musso,2024,Atalanta,Serie A,2,0.7754,3.5594366205469186,1.4331767995420819,0.564124786089792,GK,2
Aaron Ramsdale,2024,Premier League,Stefan Ortega,2024,Manchester City,Premier League,2,0.7653,3.7230557549170697,3.5213769260754653,1.823572962206299,GK,2
Aaron Ramsdale,2025,Premier League,Pepe Reina,2025,Como,Serie A,2,0.873,0.2661792951968778,1.0995682988255275,1.3341635374864609,GK,2
Aaron Ramsdale,2025,Premier League,Christian Walton,2025,Ipswich Town,Premier League,2,0.8552,0.3691973960662409,0.08870720970949364,1.5618884153373642,GK,2
Aaron Ramsdale,2025,Premier League,Gauthier Gallon,2025,Rennes,Ligue 1,2,0.8242,-0.4963885070885681,1.0237053765186062,0.9119276787047852,GK,2
Aaron Ramsdale,2025,Premier League,Jasper Cillessen,2025,Las Palmas,La Liga,2,0.8189,0.9875862234140413,0.4719987079363399,1.5198722277671095,GK,2
Aaron Ramsdale,2025,Premier League,Dean Henderson,2025,Crystal Palace,Premier League,2,0.8099,0.03764829697055916,0.10741701677366677,0.43346798079568316,GK,2
Aaron Ramsdale,2025,Premier League,Emil Audero,2025,Como,Serie A,2,0.8005,1.211970255953844,1.1244809753584306,2.466204534136182,GK,2
Aaron Ramsdale,2025,Premier League,Paulo Gazzaniga,2025,Girona,La Liga,2,0.7986,0.4147531264283515,2.5193945071025716,1.9324044409596013,GK,2
Aaron Ramsdale,2025,Premier League,Brandon Austin,2025,Tottenham,Premier League,1,0.784,-0.6619622310997073,-0.4769631618157604,1.0324129427982598,GK,2
Aaron Ramsdale,2025,Premier League,Ben Alexander Voll,2025,St. Pauli,Bundesliga,4,0.7746,0.6228236341566316,-0.8376625051638555,0.12472146903769499,GK,2
Aaron Ramsdale,2025,Premier League,Jakub Stolarczyk,2025,Leicester City,Premier League,1,0.7725,-0.2800907034506679,-0.3590331981214483,0.07412856155235659,GK,2
Aarón Escandell,2020,La Liga,Claudio Bravo,2021,Betis,La Liga,4,0.9454,3.467120014399498,-0.6997359736851259,-1.89431608485188,GK,4
Aarón Escandell,2020,La Liga,Alexandre Oukidja,2021,Metz,Ligue 1,4,0.9397,3.7176185342117236,-0.7783008115442343,-2.119920617038076,GK,4
Aarón Escandell,2020,La Liga,Jordan Pickford,2021,Everton,Premier League,4,0.9394,4.563615641544672,-0.9708810014374905,-2.0671865054214322,GK,4
Aarón Escandell,2020,La Liga,Emiliano Martínez,2021,Aston Villa,Premier League,4,0.9387,4.0660334756456535,-0.43370358600838443,-1.7638394997646287,GK,4
Aarón Escandell,2020,La Liga,Robin Zentner,2020,Mainz 05,Bundesliga,4,0.9247,4.799855494681722,-1.5659991366044856,-1.7664141759025824,GK,4
Aarón Escandell,2020,La Liga,Pavao Pervan,2020,Wolfsburg,Bundesliga,4,0.9232,3.68841073906637,0.1482815601875913,-1.7146806137488966,GK,4
Aarón Escandell,2020,La Liga,Alexander Schwolow,2020,Freiburg,Bundesliga,4,0.92,5.2537995912846895,-0.6617197031304443,-2.0984597504651106,GK,4
Aarón Escandell,2020,La Liga,Rui Silva,2020,Granada,La Liga,4,0.9156,4.635603641743742,-2.2337697676478356,-3.279023315888594,GK,4
Aarón Escandell,2020,La Liga,David Raya,2022,Brentford,Premier League,4,0.9107,5.472605255243749,-0.17423855166449798,-1.8447166623746512,GK,4
Aarón Escandell,2020,La Liga,Tobias Sippel,2021,M'Gladbach,Bundesliga,4,0.9068,4.877089001188494,-0.9798184277728268,-2.0091981423053653,GK,4
Aarón Escandell,2021,La Liga,Marko Dmitrović,2021,Eibar,La Liga,4,0.9478,3.692464516447643,-4.507073394533148,-3.698082545048976,GK,4
Aarón Escandell,2021,La Liga,Rui Silva,2021,Granada,La Liga,4,0.9454,3.991688822278718,-3.3022762888928554,-3.088476361115454,GK,4
Aarón Escandell,2021,La Liga,Marko Dmitrović,2020,Eibar,La Liga,4,0.9317,3.5995690598026613,-5.719451114216593,-4.666283121500214,GK,4
Aarón Escandell,2021,La Liga,Ben Foster,2020,Watford,Premier League,4,0.9275,4.039662085038614,-5.4372558341508395,-4.311011928909068,GK,4
Aarón Escandell,2021,La Liga,David Soria,2021,Getafe,La Liga,4,0.9253,3.3715226571676595,-4.773974128553899,-4.310777364431374,GK,4
Aarón Escandell,2021,La Liga,Nick Pope,2021,Burnley,Premier League,4,0.9182,3.98195415725489,-3.8636823348512657,-3.7762554647346747,GK,4
Aarón Escandell,2021,La Liga,David Soria,2022,Getafe,La Liga,4,0.915,3.561981854752844,-3.7781429608877595,-3.2793020253445206,GK,4
Aarón Escandell,2021,La Liga,Roberto,2021,Valladolid,La Liga,4,0.9146,3.286857830983962,-4.381176766530174,-3.4481847582397904,GK,4
Aarón Escandell,2021,La Liga,Iván Cuéllar,2020,Leganés,La Liga,4,0.9138,3.5948272954561418,-3.852689078073496,-4.007940312417702,GK,4
Aarón Escandell,2021,La Liga,Alban Lafont,2022,Nantes,Ligue 1,4,0.9114,3.268154188163564,-1.7624401161022156,-2.0595033516072476,GK,4
Aarón Escandell,2022,La Liga,David Gil,2023,Cádiz,La Liga,4,0.8837,4.114470103417318,-4.101797948859023,-3.389766554824689,GK,4
Aarón Escandell,2022,La Liga,Jeroen Zoet,2023,Spezia,Serie A,4,0.8811,4.041983620207603,-2.2153733854023088,-2.3891176255160076,GK,4
Aarón Escandell,2022,La Liga,Yoel,2020,Eibar,La Liga,4,0.8775,4.498359579973993,-4.735187736669275,-4.836922807946905,GK,4
Aarón Escandell,2022,La Liga,Juan Pérez,2020,Osasuna,La Liga,4,0.8586,4.052841173443838,-2.080477380449583,-2.990970103161885,GK,4
Aarón Escandell,2022,La Liga,Alban Lafont,2022,Nantes,Ligue 1,4,0.8553,3.268154188163564,-1.7624401161022156,-2.0595033516072476,GK,4
Aarón Escandell,2022,La Liga,Stole Dimitrievski,2022,Rayo Vallecano,La Liga,4,0.8547,3.4630231548939463,-2.402626104604625,-2.4972666646467587,GK,4
Aarón Escandell,2022,La Liga,Nick Pope,2021,Burnley,Premier League,4,0.8536,3.98195415725489,-3.8636823348512657,-3.7762554647346747,GK,4
Aarón Escandell,2022,La Liga,Manuel Riemann,2022,Bochum,Bundesliga,4,0.8525,6.938103337206655,-2.3059193248701497,-2.864896431253783,GK,4
Aarón Escandell,2022,La Liga,Aitor Fernández,2023,Osasuna,La Liga,4,0.8515,4.518506402352941,-1.071879027272697,-2.2362471953289287,GK,4
Aarón Escandell,2022,La Liga,Matías Dituro,2022,Celta Vigo,La Liga,4,0.8497,4.519069447086096,-1.5006169043070159,-2.2539873080458506,GK,4
Aarón Escandell,2024,La Liga,Luca Gemello,2024,Torino,Serie A,2,0.8575,6.6007580903628735,1.2860812950818996,4.256433771069169,GK,2
Aarón Escandell,2024,La Liga,Alexander Brunst,2024,Darmstadt 98,Bundesliga,4,0.8376,6.651451108312912,-3.443720553696405,1.6452629138515817,GK,2
Aarón Escandell,2024,La Liga,Raúl Fernández,2024,Granada,La Liga,4,0.8189,4.975577255862561,-3.1567122251139708,0.9612693953123426,GK,2
Aarón Escandell,2024,La Liga,Marco Silvestri,2024,Udinese,Serie A,4,0.7854,2.3933058345168234,-0.3907714509276339,0.7616166847000159,GK,2
Aarón Escandell,2024,La Liga,Oliver Christensen,2024,Fiorentina,Serie A,2,0.7767,5.077297271176988,1.3541449925716549,2.623487941969074,GK,2
Aarón Escandell,2024,La Liga,Moritz Nicolas,2024,Gladbach,Bundesliga,2,0.7757,4.4040901640797046,0.862766255109868,1.5162776952994363,GK,2
Aarón Escandell,2024,La Liga,Jonas Omlin,2024,Gladbach,Bundesliga,2,0.7756,4.693337234855477,-0.29741379068792284,2.1292028199464994,GK,2
Aarón Escandell,2024,La Liga,Fernando,2024,Almería,La Liga,4,0.7745,4.775151635512103,-0.894001408136404,1.1939734474652823,GK,2
Aarón Escandell,2024,La Liga,Koen Casteels,2024,Wolfsburg,Bundesliga,4,0.7738,4.379713113957038,-0.6221530318719104,0.43582909544693393,GK,2
Aarón Escandell,2024,La Liga,Tomáš Koubek,2024,Augsburg,Bundesliga,4,0.7679,4.436878252169038,-1.8429512402291799,1.6552275048622391,GK,2
Adam Davies,2024,Premier League,Adam Jakubech,2024,Lille,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Agustín Marchesín,2024,Celta Vigo,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Lucas Perri,2024,Lyon,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Lovro Štubljar,2024,Empoli,Serie A,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Louis Mouquet,2024,Paris S-G,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Yannick Pandor,2024,Lens,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Aitor Fraga,2024,Real Sociedad,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Álex Domínguez,2024,Toulouse,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Adrian Rodriguez,2024,Alavés,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Davies,2024,Premier League,Áron Yaakobishvili,2024,Barcelona,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Delplace,2025,Ligue 1,Áron Yaakobishvili,2025,Barcelona,La Liga,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Louis Mouquet,2025,Paris S-G,Ligue 1,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Lorenzo Torriani,2025,Milan,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Álvaro Killane,2025,Las Palmas,La Liga,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Alessandro Calligaris,2025,Inter,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Egoitz Arana,2025,Real Sociedad,La Liga,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Edoardo Corvi,2025,Parma,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Pierre Bolchini,2025,Como,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Pietro Leonardelli,2025,Fiorentina,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Delplace,2025,Ligue 1,Alessandro Sorrentino,2025,Monza,Serie A,1,1.0,-4.2104454602122985,-0.30393926624226353,0.672197151346893,GK,1
Adam Jakubech,2022,Ligue 1,Florian Schock,2022,Stuttgart,Bundesliga,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Adrián,2022,Liverpool,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Samuele Vitale,2022,Sassuolo,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Matteo Carnelos,2022,Udinese,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Scott Carson,2022,Manchester City,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Matthew Cox,2022,Brentford,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Alaa Bellaarouch,2022,Strasbourg,Ligue 1,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Alberto Brignoli,2022,Empoli,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Alberto López,2022,Sevilla,La Liga,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2022,Ligue 1,Mattia Chiesa,2022,Hellas Verona,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adam Jakubech,2023,Ligue 1,Jacopo De Matteis,2023,Salernitana,Serie A,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Adrián,2023,Liverpool,Premier League,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Nikita Contini Baranovsky,2023,Sampdoria,Serie A,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Nicolas Penneteau,2023,Reims,Ligue 1,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Nicolas Glaus,2023,Stuttgart,Bundesliga,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Alessandro Micai,2023,Salernitana,Serie A,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Yannick Pandor,2023,Lens,Ligue 1,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Iru,2023,Athletic Club,La Liga,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Jacopo Seghetti,2023,Empoli,Serie A,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2023,Ligue 1,Jacopo Del Bello,2023,Roma,Serie A,1,1.0,-4.104297219412075,-0.325983725457089,0.2063818221606084,GK,1
Adam Jakubech,2024,Ligue 1,Adam Davies,2024,Sheffield Utd,Premier League,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Agustín Marchesín,2024,Celta Vigo,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Lucas Perri,2024,Lyon,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Lovro Štubljar,2024,Empoli,Serie A,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Louis Mouquet,2024,Paris S-G,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Yannick Pandor,2024,Lens,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Aitor Fraga,2024,Real Sociedad,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Álex Domínguez,2024,Toulouse,Ligue 1,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Adrian Rodriguez,2024,Alavés,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adam Jakubech,2024,Ligue 1,Áron Yaakobishvili,2024,Barcelona,La Liga,1,1.0,-4.157371339812187,-0.31496149584967625,0.4392894867537507,GK,1
Adrian Quintela,2022,La Liga,Florian Schock,2022,Stuttgart,Bundesliga,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Adam Jakubech,2022,Lille,Ligue 1,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Adrián,2022,Liverpool,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Samuele Vitale,2022,Sassuolo,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Matteo Carnelos,2022,Udinese,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Scott Carson,2022,Manchester City,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Matthew Cox,2022,Brentford,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Alaa Bellaarouch,2022,Strasbourg,Ligue 1,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Alberto Brignoli,2022,Empoli,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Quintela,2022,La Liga,Alberto López,2022,Sevilla,La Liga,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Florian Schock,2022,Stuttgart,Bundesliga,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Adam Jakubech,2022,Lille,Ligue 1,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Adrián,2022,Liverpool,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Samuele Vitale,2022,Sassuolo,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Matteo Carnelos,2022,Udinese,Serie A,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Scott Carson,2022,Manchester City,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
Adrian Rodriguez,2022,La Liga,Matthew Cox,2022,Brentford,Premier League,1,1.0,-4.0512230990119775,-0.33700595506449815,-0.02652584243247702,GK,1
