table,archetype_id,suggested_name,profile_summary
DF,0,High season_end_year.1 / att_3rd_touches_p90,"High: season_end_year.1, att_3rd_touches_p90, ti_pass_p90 | Lower: cmp_percent_total, cmp_percent_medium"
DF,1,High season_end_year.1 / cpa_carries_p90,"High: season_end_year.1, cpa_carries_p90, pass_blocks_p90 | Lower: ppm_team.success, cmp_percent_long"
DF,2,High season_end_year.1 / pass_cmp_pct,"High: season_end_year.1, pass_cmp_pct, att_short_p90 | Lower: live_touches_p90, touches_touches_p90"
DF,3,High season_end_year.1 / cmp_percent_medium,"High: season_end_year.1, cmp_percent_medium, cmp_percent_short | Lower: avrg_dist_pass, pass_cmp_pct"
DF,4,High season_end_year.1 / def_3rd_touches_p90,"High: season_end_year.1, def_3rd_touches_p90, avrg_dist_pass | Lower: dead_pass_p90, ti_pass_p90"
DF,5,High season_end_year.1 / tkl_tackles_p90,"High: season_end_year.1, tkl_tackles_p90, att_challenges_p90 | Lower: cmp_percent_total, cmp_percent_medium"
FW,0,High season_end_year.1 / g_per_sot_standard,"High: season_end_year.1, g_per_sot_standard, crdy_p90 | Lower: avrg_dist_pass, pass_cmp_pct"
FW,1,High season_end_year.1 / crs_pass_p90,"High: season_end_year.1, crs_pass_p90, crs_p90 | Lower: g_per_sot_standard, npxg_per_sh_expected"
FW,2,High season_end_year.1 / live_pass_p90,"High: season_end_year.1, live_pass_p90, att_total_p90 | Lower: xgplus_per__minus_90_team.success..xg, on_minus_off_team.success..xg"
FW,3,High season_end_year.1 / aerial_win_pct,"High: season_end_year.1, aerial_win_pct, pass_cmp_pct | Lower: dist_standard, ck_pass_p90"
FW,4,High season_end_year.1 / cpa_carries_p90,"High: season_end_year.1, cpa_carries_p90, prgc_carries_p90 | Lower: sot_percent_standard, cmp_percent_total"
GK,0,High season_end_year.1 / pass_cmp_pct,"High: season_end_year.1, pass_cmp_pct, att_medium_p90 | Lower: avglen_passes, launch_percent_goal"
GK,1,High season_end_year.1 / cmp_percent_short,"High: season_end_year.1, cmp_percent_short, cmp_percent_medium | Lower: pass_cmp_pct, avrg_dist_pass"
GK,2,High season_end_year.1 / att_long_p90,"High: season_end_year.1, att_long_p90, cmp_launched_p90 | Lower: xgplus_per__minus__team.success..xg, cmp_percent_total"
GK,3,High season_end_year.1 / ga90,"High: season_end_year.1, ga90, ga_goals_p90 | Lower: on_minus_off_team.success..xg, xgplus_per__minus_90_team.success..xg"
GK,4,High season_end_year.1 / stp_crosses_p90,"High: season_end_year.1, stp_crosses_p90, ck_goals_p90 | Lower: save_percent, _per_90_expected"
MF,0,High season_end_year.1 / att_p90,"High: season_end_year.1, att_p90, att_total_p90 | Lower: cmp_percent_medium, tklw_win_rate"
MF,1,High season_end_year.1 / avrg_dist_per_carry,"High: season_end_year.1, avrg_dist_per_carry, prgr_receiving_p90 | Lower: cmp_percent_medium, cmp_percent_total"
MF,2,High season_end_year.1 / cmp_percent_short,"High: season_end_year.1, cmp_percent_short, cmp_percent_medium | Lower: avrg_dist_pass, pass_cmp_pct"
MF,3,High season_end_year.1 / pass_cmp_pct,"High: season_end_year.1, pass_cmp_pct, avrg_dist_pass | Lower: live_touches_p90, touches_touches_p90"
MF,4,High season_end_year.1 / avrg_dist_pass,"High: season_end_year.1, avrg_dist_pass, mid_3rd_touches_p90 | Lower: xg_per, xg+xag_per"
MF,5,High season_end_year.1 / def_3rd_tackles_p90,"High: season_end_year.1, def_3rd_tackles_p90, tkl_tackles_p90 | Lower: att_long_p90, aerial_win_pct"
MF,6,High season_end_year.1 / live_touches_p90,"High: season_end_year.1, live_touches_p90, touches_touches_p90 | Lower: xg+xag_per, att_long_p90"
MF,7,High season_end_year.1 / gls_per,"High: season_end_year.1, gls_per, g_minus_pk_per | Lower: cmp_percent_medium, dist_standard"
