player,season_end_year,squad,comp,archetype,archetype_name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,table
Aaron Ciammaglichella,2023,Torino,Serie A,2,Midfielder: Distribution + Finishing,-6.126848725434684,-0.46506532421766167,1.6035494418850362,-0.3979035629635632,1.2975514113798,-0.1913690040603342,-2.1555125375768114,0.1775287087044486,0.4913782142795071,0.3439065355138382,0.28455501764563707,0.040363706485777584,MF
Aaron Ciammaglichella,2024,Torino,Serie A,2,Midfielder: Distribution + Finishing,-6.207240079394978,-0.43231629912287417,1.4149785830031192,-0.4657681925522468,1.7301905671318991,0.4894292206699902,-2.0306192899187465,0.17412688816131716,0.2856681223014448,0.6520408274404872,0.2657200378491993,0.18429054404236922,MF
Aaron Ciammaglichella,2025,Torino,Serie A,2,Midfielder: Distribution + Finishing,-5.132804017326919,0.0652038261073642,0.36868022398095945,-2.7870696596062885,8.152631877635258,-3.1117222680709347,0.774492758110398,1.0430356323515015,0.6843228168078213,1.1581408643485247,0.030011582656889857,0.12504252922047954,MF
Aaron Connolly,2022,Brighton,Premier League,1,Midfielder: Ball Carrying + Possession Control,-2.987058165072625,0.45095197359586336,1.3501260602868115,-0.6189632485991581,0.5622191756496022,-0.6517681317095594,0.2327355115421028,-0.9214737888288997,-0.8367356654424043,-0.04055029436131008,0.055569314236095124,-0.05866086406058457,MF
Aaron Herzog,2020,M'Gladbach,Bundesliga,2,Midfielder: Distribution + Finishing,-5.885674663553772,-0.5633123995020526,2.1692620185307874,-0.19430967419748413,-0.0003660558763840527,-2.23376367825108,-2.530192280551063,0.187734170333842,1.1085084902136941,-0.5804963402657677,0.3410599570349504,-0.3914168061839405,MF
Aaron Hickey,2025,Brentford,Premier League,2,Midfielder: Distribution + Finishing,-6.287631433355273,-0.39956727402808667,1.2264077241212021,-0.5336328221409588,2.1628297228839983,1.1702274454003145,-1.9057260422606532,0.17072506761818573,0.07995803032338245,0.9601751193670225,0.2468850580527615,0.328217381598904,MF
Aaron Lennon,2020,Burnley,Premier League,1,Midfielder: Ball Carrying + Possession Control,-1.159273494059562,-1.360901916521513,2.167340454488169,1.7858932530893412,-1.0741135573446172,-1.1900894515699747,0.8630963782497929,-0.3784413959991326,0.02280818281917618,-0.41124121772020317,-0.7722796022071634,-0.5726986796420306,MF
Aaron Lennon,2022,Burnley,Premier League,1,Midfielder: Ball Carrying + Possession Control,-1.5900673812371053,0.5548995603072626,1.8186860575897867,1.360547966164603,-0.5568757980569217,0.25904100151979037,1.6743769610695551,-0.14802637888467807,1.3181734808209171,0.24446565447954072,-0.2875161528339163,-0.3680327016436422,MF
Aaron Mooy,2020,Brighton,Premier League,1,Midfielder: Ball Carrying + Possession Control,1.9913100788400868,-0.2586243265636625,-0.05505735315563243,1.917563753024865,-1.5743521902306838,-1.6636295599485038,-0.06398978059283422,0.0022081811515661798,0.5901022360428669,-1.1194639597739524,-0.06732428075957131,0.10494215242232485,MF
Aaron Ramsey,2020,Juventus,Serie A,4,Midfielder: Possession Control + Distribution,3.292239335596122,0.6518837785172593,-0.4041821746261576,-2.45114013336638,-1.0995121273278983,-2.0232496197065757,-0.8904132391618589,-1.6353959865137986,0.3669410347492317,-0.2559203388559581,0.3305593448630191,-1.0114195881559453,MF
Aaron Ramsey,2021,Juventus,Serie A,7,Midfielder: Finishing + Chance Creation,3.447606716425014,2.19852104524837,-1.0248980392282192,-2.447254294599219,-0.6513767898563856,-1.4937307206716923,-1.350250385468712,-1.7544396301393084,-0.34426199856386575,-1.041668540614296,-0.6211636310209698,-0.1866994852983339,MF
Aaron Ramsey,2022,Juventus,Serie A,4,Midfielder: Possession Control + Distribution,0.7014765047666458,-3.0848252117383055,-1.3274541243242197,-1.1887433261032925,-0.588795025235413,-0.26868449671792405,-1.301288924797916,-0.7481569747108088,0.07541182904446941,0.09650960242402107,0.8705901631725652,-0.23103964405186161,MF
Aaron Ramsey,2023,Nice,Ligue 1,4,Midfielder: Possession Control + Distribution,3.237314166909357,-0.3605741940127274,-1.3428024532149152,-0.7592647312015117,0.6765756008470589,0.014639787583519137,-1.026534527452867,-0.8167657666405352,0.09226136256404516,0.2978719312590101,-0.2706551442157661,-0.061488790661712756,MF
Aaron Ramsey,2024,Burnley,Premier League,1,Midfielder: Ball Carrying + Possession Control,-1.081390084630101,-1.411722440440343,1.2446286580189394,0.6062239547438537,0.09886147249017085,1.5676968833231513,1.5167590754981006,-0.167580560378906,-1.7668077272895744,0.01799554193712538,-0.4689433977507136,-0.19778883775825307,MF
Abdallah Sima,2025,Brest,Ligue 1,3,Midfielder: Distribution + Chance Creation,-2.9879517220276455,3.5299779987095974,-0.607964956208491,-2.051024796203137,-0.28845843136343774,2.746366412712405,2.604797248359432,-0.11233371344515763,0.13275961601436848,-0.39324518682803955,0.33934947321971975,0.5383009484228864,MF
Abdallahi Mahmoud,2020,Alavés,La Liga,4,Midfielder: Possession Control + Distribution,-0.8786062712732701,-2.7452024446569325,1.7604248122396484,-0.6415144404374189,-2.2219300426720565,-1.7371304524872357,0.8878015341228718,-0.2260247005710676,-0.06297918902629362,-0.7088936332156663,-0.6626202405179669,-0.5640731256323193,MF
Abdallahi Mahmoud,2021,Alavés,La Liga,1,Midfielder: Ball Carrying + Possession Control,-1.872799081097611,-1.6709313768067773,1.2455970051493637,0.48780586976542395,-0.6985312847295972,-0.8327592789676146,1.591042074788902,0.3769192792608589,0.5856445359592044,-0.8696442243623324,-0.09312007241798881,-0.25905257905992585,MF
Abde Ezzalzouli,2025,Betis,La Liga,3,Midfielder: Distribution + Chance Creation,-1.7579276169674642,2.3704065097702767,-0.6196181357439059,0.047278117194480274,1.1295477910260843,1.864216551793561,1.011204448808087,-0.2708576311290276,-1.6465881850839992,0.0341821661445465,0.08776919336240496,0.14220895975995518,MF
Abdelhamid Sabiri,2020,Paderborn 07,Bundesliga,4,Midfielder: Possession Control + Distribution,1.3546761581411033,0.1822991664742375,-0.29477445413795067,0.07912938179910611,-3.584642784053017,-1.8555962932853163,0.8065676371379311,4.155646924451274,-0.9938986320255481,0.06615472343287365,0.9680370744331626,-0.25433546264622464,MF
Abdelhamid Sabiri,2022,Sampdoria,Serie A,1,Midfielder: Ball Carrying + Possession Control,0.7571859107486318,0.9234263453709985,0.31537727408232286,-0.06680831777467233,-1.1084669664112425,0.026047076076110898,0.871806565078515,0.4848908663596392,0.8239613675089004,-0.4792498005856487,0.15712789005484495,-0.24106526779752357,MF
Abdelhamid Sabiri,2023,Sampdoria,Serie A,1,Midfielder: Ball Carrying + Possession Control,0.9215797901649694,1.1378496410410008,-0.625412090086968,3.0483912603707495,-0.3502246252307941,0.24388967060735922,0.18612396517227126,4.038137070888046,-0.9863815792720061,1.1125531723951099,1.541426444309586,-0.22047828584163653,MF
Abdelhamid Sabiri,2024,Fiorentina,Serie A,2,Midfielder: Distribution + Finishing,-6.207240079394978,-0.43231629912287417,1.4149785830031192,-0.4657681925522468,1.7301905671318991,0.4894292206699902,-2.0306192899187465,0.17412688816131716,0.2856681223014448,0.6520408274404872,0.2657200378491993,0.18429054404236922,MF
Abdellah Baallal,2024,Clermont Foot,Ligue 1,4,Midfielder: Possession Control + Distribution,4.482056201046788,-2.8386215825370087,2.745967568290837,-2.022153682623326,2.3105533066087673,1.715174893350877,2.357764474193914,-0.25598260666662753,-0.49293600940399074,0.4603432503162139,3.7384468955136683,-0.6176032315320299,MF
Abderrahman Rebbach,2024,Alavés,La Liga,1,Midfielder: Ball Carrying + Possession Control,0.42887889000709833,2.9441840752949417,0.4528638029721037,4.333842934117513,1.3254401802212215,0.9737696810298075,1.0360132943325766,-0.2618020843881208,0.3548652366588385,0.8080787497654001,-0.6848584385171321,0.16849815280392022,MF
Abderrahman Rebbach,2025,Alavés,La Liga,3,Midfielder: Distribution + Chance Creation,-2.230214254710461,0.40405474503167227,0.12053978248684416,2.7845304985817734,2.3729082392916325,1.341295571098044,0.3483775069662727,-0.34871510589907473,-0.9118821319656263,0.9575838862097044,-0.25362401474703944,0.15044162932736072,MF
Abdessamad Ezzalzouli,2023,Osasuna,La Liga,1,Midfielder: Ball Carrying + Possession Control,1.0646410755308011,2.905281319778126,1.3189569488049528,1.7022783687835101,0.1526411413479991,0.3468895242497183,0.34377975555094054,-1.1076688508087598,0.010993009891251404,0.9707752534367273,-1.2529486706913033,-0.43695970274370666,MF
Abdessamad Ezzalzouli,2024,Barcelona,La Liga,1,Midfielder: Ball Carrying + Possession Control,4.06869467197842,5.596233103844412,0.9931751735693979,4.659924801794091,2.9718676648777773,-0.2786535976799769,0.391961589739509,-2.3310356036989157,-1.7408599485732452,1.2422640893128118,-1.3668303830384474,-0.6461979110798666,MF
Abdou Diallo,2023,RB Leipzig,Bundesliga,4,Midfielder: Possession Control + Distribution,3.8497957179112348,-1.8703058968250446,-0.8090011344778532,-2.9344373736925036,-1.8798982059686296,1.6102130074937122,2.094100951178433,-0.8793293966979316,2.260510838475227,0.4354321032107009,0.24798131761701114,1.4068884897918679,MF
Abdou Harroui,2022,Sassuolo,Serie A,4,Midfielder: Possession Control + Distribution,2.5826102728412366,-2.2330581744267732,0.030903678217100605,-0.6822212071795093,0.11779276727679644,-0.6839880689542497,-0.3732987363877385,-0.22801406459798557,-1.8001519798964978,-0.2507160200934777,1.0153506275894983,-0.6239124400173637,MF
Abdou Harroui,2023,Sassuolo,Serie A,4,Midfielder: Possession Control + Distribution,1.0657616201139035,0.20896371865809726,0.0559397954502856,-1.2820550257931131,-0.9891293554815093,0.6313820246791693,0.47646759581635934,-0.5753842436267806,0.06377796114196599,0.3743207603912424,-0.07505149320400761,-0.2964130298069563,MF
