target_player,target_season,target_comp,candidate_player,candidate_season,candidate_squad,candidate_comp,archetype,similarity_score,pc1,pc2,pc3,table,target_archetype
Aaron Connolly,2020,Premier League,Moise Kean,2020,Everton,Premier League,1,0.7644,0.587380878131853,0.5679557954911303,0.2664259292231037,FW,1
Aaron Connolly,2020,Premier League,Kevin Lasagna,2020,Udinese,Serie A,1,0.7627,-0.09047250658667849,0.1128193135230191,0.4958211308221081,FW,1
Aaron Connolly,2020,Premier League,Giovanni Simeone,2020,Cagliari,Serie A,1,0.7613,-0.2423563760141576,0.32611731401669886,0.09819809658139533,FW,1
Aaron Connolly,2020,Premier League,Dani Gómez,2021,Levante,La Liga,1,0.7579,0.10867986687171083,-1.3186815470985067,0.4579658730137339,FW,1
Aaron Connolly,2020,Premier League,Borja Iglesias,2020,Betis,La Liga,1,0.7538,-0.5845174145659655,-0.673428862918243,-0.021076906307332166,FW,1
Aaron Connolly,2020,Premier League,Khouma Babacar,2020,Lecce,Serie A,1,0.7443,0.28426203403245154,-0.5168439384830918,0.7837816946934879,FW,1
Aaron Connolly,2020,Premier League,Aaron Connolly,2021,Brighton,Premier League,1,0.7314,-0.7397113919156197,0.5857313414936272,0.28005214328390693,FW,1
Aaron Connolly,2020,Premier League,Samuel Di Carmine,2021,Crotone,Serie A,1,0.7176,-0.5976583950218526,-2.318250463736291,0.5771877984496534,FW,1
Aaron Connolly,2020,Premier League,Ilija Nestorovski,2020,Udinese,Serie A,1,0.7078,1.011386804660276,-0.7577397779091939,-0.0031800490520730307,FW,1
Aaron Connolly,2020,Premier League,Josh Sargent,2020,Werder Bremen,Bundesliga,1,0.7074,0.3143878644674203,-0.41524560325756,0.13453910732805952,FW,1
Aaron Connolly,2021,Premier League,Danny Welbeck,2021,Brighton,Premier League,1,0.8037,-0.1080070017134176,1.1904114917765583,-0.8132820551540014,FW,1
Aaron Connolly,2021,Premier League,Carlos Bacca,2020,Villarreal,La Liga,1,0.7511,-0.2063638006993358,0.6568477550400189,0.19919785224169217,FW,1
Aaron Connolly,2021,Premier League,Aaron Connolly,2020,Brighton,Premier League,1,0.7314,-0.45021843287844376,-0.23179148665714422,0.16774066199458915,FW,1
Aaron Connolly,2021,Premier League,Eddie Nketiah,2021,Arsenal,Premier League,1,0.7232,0.14976588235396093,0.7388272273503276,-0.10159029888714244,FW,1
Aaron Connolly,2021,Premier League,Yoann Touzghar,2022,Troyes,Ligue 1,1,0.7209,-0.7174986431965635,-0.1773627170225609,0.0029447394805401927,FW,1
Aaron Connolly,2021,Premier League,Jean-Kévin Augustin,2020,Monaco,Ligue 1,1,0.7128,-0.27357646814670034,-0.9307078124481478,0.8989924973946088,FW,1
Aaron Connolly,2021,Premier League,Matěj Vydra,2021,Burnley,Premier League,1,0.6959,-0.39382901802514425,-0.12133593174877433,0.8777079208932683,FW,1
Aaron Connolly,2021,Premier League,Arthur,2022,Fiorentina,Serie A,1,0.6789,0.006940220622311699,0.6275086847980589,-0.3199749179001934,FW,1
Aaron Connolly,2021,Premier League,Josh Maja,2021,Bordeaux,Ligue 1,1,0.6689,0.19853334277036083,-0.20053615823121618,-0.2011165430388253,FW,1
Aaron Connolly,2021,Premier League,Moise Kean,2020,Everton,Premier League,1,0.664,0.587380878131853,0.5679557954911303,0.2664259292231037,FW,1
Aaron Leya Iseka,2020,Ligue 1,Yaya Sanogo,2020,Toulouse,Ligue 1,1,0.8051,-0.5005363798060785,-0.10726425928417882,-0.11333790653175058,FW,1
Aaron Leya Iseka,2020,Ligue 1,Enes Ünal,2020,Valladolid,La Liga,1,0.8027,0.7981488747353183,-0.1249715522412913,-0.3454314732086168,FW,1
Aaron Leya Iseka,2020,Ligue 1,Alfredo Donnarumma,2020,Brescia,Serie A,1,0.7972,0.4655095776662108,0.02955581987400535,-0.5835452195470872,FW,1
Aaron Leya Iseka,2020,Ligue 1,Sebastian Andersson,2021,Köln,Bundesliga,1,0.7927,-0.05800334286655584,0.39091393197257673,-0.29869393232513275,FW,1
Aaron Leya Iseka,2020,Ligue 1,Fábio Silva,2021,Wolves,Premier League,1,0.7899,0.14614310740557812,-0.16090825890928784,-0.21544741598283323,FW,1
Aaron Leya Iseka,2020,Ligue 1,Fabio Quagliarella,2020,Sampdoria,Serie A,1,0.78,0.9782970915462954,1.0682537617371821,-1.6999080785052278,FW,1
Aaron Leya Iseka,2020,Ligue 1,Sehrou Guirassy,2020,Amiens,Ligue 1,1,0.7765,1.399495082224405,0.44401745518585756,-1.2214659909516357,FW,1
Aaron Leya Iseka,2020,Ligue 1,Ivan Šaponjić,2021,Cádiz,La Liga,1,0.7722,0.09634468285270259,0.5096640995087682,-1.2873825959028444,FW,1
Aaron Leya Iseka,2020,Ligue 1,Krzysztof Piątek,2020,Hertha BSC,Bundesliga,1,0.7714,0.9419247523869956,1.0925647895382156,-1.8447400779971481,FW,1
Aaron Leya Iseka,2020,Ligue 1,Ernesto Torregrossa,2020,Brescia,Serie A,1,0.7571,1.2228554729160805,-0.1626675349206863,-0.06745643365521303,FW,1
Aaron Leya Iseka,2021,Ligue 1,El Bilal Touré,2020,Reims,Ligue 1,1,0.9286,0.24720283946251698,2.8548294209924734,-3.3809557812565068,FW,1
Aaron Leya Iseka,2021,Ligue 1,Krzysztof Piątek,2020,Hertha BSC,Bundesliga,1,0.9272,0.9419247523869956,1.0925647895382156,-1.8447400779971481,FW,1
Aaron Leya Iseka,2021,Ligue 1,Arkadiusz Milik,2021,Marseille,Ligue 1,1,0.8791,0.7703729618404509,1.857238462498458,-2.307758692369159,FW,1
Aaron Leya Iseka,2021,Ligue 1,Kasper Dolberg,2022,Nice,Ligue 1,1,0.8708,-0.31178842292467834,1.0081685143406247,-1.426754949012345,FW,1
Aaron Leya Iseka,2021,Ligue 1,Borja Iglesias,2021,Betis,La Liga,1,0.8606,0.26704660720758966,2.7371260678524436,-3.7630644562910938,FW,1
Aaron Leya Iseka,2021,Ligue 1,M'Bala Nzola,2021,Spezia,Serie A,1,0.8492,0.7715382044822547,1.1051640610900932,-1.8668625595268296,FW,1
Aaron Leya Iseka,2021,Ligue 1,Fabio Quagliarella,2020,Sampdoria,Serie A,1,0.8425,0.9782970915462954,1.0682537617371821,-1.6999080785052278,FW,1
